GCCSA_NAME21	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Greater Perth		2 storeys or more	3	15573
Greater Perth		2 storeys or more	4	3247
Greater Perth		2 storeys or more	5	335
Greater Perth		2 storeys or more	6	108
Greater Perth	(Other)			138
Greater Perth	(Other)		0	204
Greater Perth	(Other)		1	883
Greater Perth	(Other)		2	905
Greater Perth	(Other)		3	252
Greater Perth	(Other)		4	109
Greater Perth	(Other)		5	27
Greater Perth	(Other)		6	14
Greater Perth	Flat/apartment		0	16
Greater Perth	Flat/apartment	1 or 2 storey block		370
Greater Perth	Flat/apartment	1 or 2 storey block	0	120
Greater Perth	Flat/apartment	1 or 2 storey block	1	4091
Greater Perth	Flat/apartment	1 or 2 storey block	2	10886
Greater Perth	Flat/apartment	1 or 2 storey block	3	3125
Greater Perth	Flat/apartment	1 or 2 storey block	4	243
Greater Perth	Flat/apartment	1 or 2 storey block	5	24
Greater Perth	Flat/apartment	1 or 2 storey block	6	35
Greater Perth	Flat/apartment	3 storey block		211
Greater Perth	Flat/apartment	3 storey block	0	194
Greater Perth	Flat/apartment	3 storey block	1	4028
Greater Perth	Flat/apartment	3 storey block	2	8062
Greater Perth	Flat/apartment	3 storey block	3	1794
Greater Perth	Flat/apartment	3 storey block	4	74
Greater Perth	Flat/apartment	3 storey block	5	6
Greater Perth	Flat/apartment	3 storey block	6	8
Greater Perth	Flat/apartment	4-8 storey block		194
Greater Perth	Flat/apartment	4-8 storey block	0	222
Greater Perth	Flat/apartment	4-8 storey block	1	4971
Greater Perth	Flat/apartment	4-8 storey block	2	8220
Greater Perth	Flat/apartment	4-8 storey block	3	2403
Greater Perth	Flat/apartment	4-8 storey block	4	92
Greater Perth	Flat/apartment	4-8 storey block	5	4
Greater Perth	Flat/apartment	4-8 storey block	6	10
Greater Perth	Flat/apartment	9 or more storey block		97
Greater Perth	Flat/apartment	9 or more storey block	0	128
Greater Perth	Flat/apartment	9 or more storey block	1	2201
Greater Perth	Flat/apartment	9 or more storey block	2	5201
Greater Perth	Flat/apartment	9 or more storey block	3	1595
Greater Perth	Flat/apartment	9 or more storey block	4	60
Greater Perth	Flat/apartment	9 or more storey block	5	3
Greater Perth	Flat/apartment	9 or more storey block	6	6
Greater Perth	Flat/apartment	Attached to a house		19
Greater Perth	Flat/apartment	Attached to a house	1	208
Greater Perth	Flat/apartment	Attached to a house	2	262
Greater Perth	Flat/apartment	Attached to a house	3	118
Greater Perth	Flat/apartment	Attached to a house	4	107
Greater Perth	Flat/apartment	Attached to a house	5	42
Greater Perth	Flat/apartment	Attached to a house	6	33
Greater Perth	Separate house			6271
Greater Perth	Separate house		0	446
Greater Perth	Separate house		1	3635
Greater Perth	Separate house		2	28866
Greater Perth	Separate house		3	219565
Greater Perth	Separate house		4	297348
Greater Perth	Separate house		5	42065
Greater Perth	Separate house		6	7258
Rest of WA				148
Rest of WA			0	54
Rest of WA			1	232
Rest of WA			2	221
Rest of WA			3	239
Rest of WA			4	181
Rest of WA			5	53
Rest of WA			6	73
Rest of WA		1 storey		436
Rest of WA		1 storey	0	63
Rest of WA		1 storey	1	1894
Rest of WA		1 storey	2	5522
Rest of WA		1 storey	3	4272
Rest of WA		1 storey	4	579
Rest of WA		1 storey	5	49
Rest of WA		1 storey	6	28
Rest of WA		2 storeys or more		47
Rest of WA		2 storeys or more	0	14
Rest of WA		2 storeys or more	1	203
Rest of WA		2 storeys or more	2	625
Rest of WA		2 storeys or more	3	987
Rest of WA		2 storeys or more	4	350
Rest of WA		2 storeys or more	5	51
Rest of WA		2 storeys or more	6	5
Rest of WA	(Other)			278
Rest of WA	(Other)		0	439
Rest of WA	(Other)		1	1296
Rest of WA	(Other)		2	646
Rest of WA	(Other)		3	360
Rest of WA	(Other)		4	228
Rest of WA	(Other)		5	44
Rest of WA	(Other)		6	33
Rest of WA	Flat/apartment		0	3
Rest of WA	Flat/apartment	1 or 2 storey block		81
Rest of WA	Flat/apartment	1 or 2 storey block	0	23
Rest of WA	Flat/apartment	1 or 2 storey block	1	629
Rest of WA	Flat/apartment	1 or 2 storey block	2	941
Rest of WA	Flat/apartment	1 or 2 storey block	3	404
Rest of WA	Flat/apartment	1 or 2 storey block	4	47
Rest of WA	Flat/apartment	1 or 2 storey block	5	5
Rest of WA	Flat/apartment	1 or 2 storey block	6	14
Rest of WA	Flat/apartment	3 storey block	1	67
Rest of WA	Flat/apartment	3 storey block	2	174
Rest of WA	Flat/apartment	3 storey block	3	49
Rest of WA	Flat/apartment	3 storey block	4	5
Rest of WA	Flat/apartment	4-8 storey block		3
Rest of WA	Flat/apartment	4-8 storey block	1	38
Rest of WA	Flat/apartment	4-8 storey block	2	83
Rest of WA	Flat/apartment	4-8 storey block	3	35
Rest of WA	Flat/apartment	9 or more storey block	1	67
Rest of WA	Flat/apartment	9 or more storey block	2	71
Rest of WA	Flat/apartment	9 or more storey block	3	27
Rest of WA	Flat/apartment	9 or more storey block	4	4
Rest of WA	Flat/apartment	Attached to a house		3
Rest of WA	Flat/apartment	Attached to a house	1	26
Rest of WA	Flat/apartment	Attached to a house	2	30
Rest of WA	Flat/apartment	Attached to a house	3	16
Rest of WA	Flat/apartment	Attached to a house	4	11
Rest of WA	Flat/apartment	Attached to a house	5	4
Rest of WA	Flat/apartment	Attached to a house	6	4
Rest of WA	Separate house			2667
Rest of WA	Separate house		0	406
Rest of WA	Separate house		1	2918
Rest of WA	Separate house		2	15044
Rest of WA	Separate house		3	68920
Rest of WA	Separate house		4	63545
Rest of WA	Separate house		5	8214
Rest of WA	Separate house		6	1871
Greater Hobart				18
Greater Hobart			0	8
Greater Hobart			1	38
Greater Hobart			2	63
Greater Hobart			3	40
Greater Hobart			4	27
Greater Hobart			6	10
Greater Hobart		1 storey		84
Greater Hobart		1 storey	0	36
Greater Hobart		1 storey	1	875
Greater Hobart		1 storey	2	1760
Greater Hobart		1 storey	3	402
Greater Hobart		1 storey	4	69
Greater Hobart		1 storey	5	12
Greater Hobart		1 storey	6	4
Greater Hobart		2 storeys or more		32
Greater Hobart		2 storeys or more	0	10
Greater Hobart		2 storeys or more	1	293
Greater Hobart		2 storeys or more	2	1370
Greater Hobart		2 storeys or more	3	675
Greater Hobart		2 storeys or more	4	119
Greater Hobart		2 storeys or more	5	27
Greater Hobart		2 storeys or more	6	5
Greater Hobart	(Other)			16
Greater Hobart	(Other)		0	44
Greater Hobart	(Other)		1	125
Greater Hobart	(Other)		2	98
Greater Hobart	(Other)		3	75
Greater Hobart	(Other)		4	29
Greater Hobart	(Other)		5	3
Greater Hobart	Flat/apartment	1 or 2 storey block		137
Greater Hobart	Flat/apartment	1 or 2 storey block	0	90
Greater Hobart	Flat/apartment	1 or 2 storey block	1	1672
Greater Hobart	Flat/apartment	1 or 2 storey block	2	3140
Greater Hobart	Flat/apartment	1 or 2 storey block	3	738
Greater Hobart	Flat/apartment	1 or 2 storey block	4	131
Greater Hobart	Flat/apartment	1 or 2 storey block	5	29
Greater Hobart	Flat/apartment	1 or 2 storey block	6	14
Greater Hobart	Flat/apartment	3 storey block		16
Greater Hobart	Flat/apartment	3 storey block	0	49
Greater Hobart	Flat/apartment	3 storey block	1	325
Greater Hobart	Flat/apartment	3 storey block	2	510
Greater Hobart	Flat/apartment	3 storey block	3	115
Greater Hobart	Flat/apartment	3 storey block	4	22
Greater Hobart	Flat/apartment	3 storey block	5	7
Greater Hobart	Flat/apartment	3 storey block	6	3
Greater Hobart	Flat/apartment	4-8 storey block		14
Greater Hobart	Flat/apartment	4-8 storey block	0	16
Greater Hobart	Flat/apartment	4-8 storey block	1	124
Greater Hobart	Flat/apartment	4-8 storey block	2	372
Greater Hobart	Flat/apartment	4-8 storey block	3	68
Greater Hobart	Flat/apartment	4-8 storey block	4	3
Greater Hobart	Flat/apartment	9 or more storey block	2	22
Greater Hobart	Flat/apartment	9 or more storey block	3	6
Greater Hobart	Flat/apartment	Attached to a house	1	64
Greater Hobart	Flat/apartment	Attached to a house	2	36
Greater Hobart	Flat/apartment	Attached to a house	3	24
Greater Hobart	Flat/apartment	Attached to a house	4	18
Greater Hobart	Flat/apartment	Attached to a house	5	5
Greater Hobart	Separate house			872
Greater Hobart	Separate house		0	133
Greater Hobart	Separate house		1	1286
Greater Hobart	Separate house		2	12934
Greater Hobart	Separate house		3	43358
Greater Hobart	Separate house		4	17501
Greater Hobart	Separate house		5	3909
Greater Hobart	Separate house		6	848
Rest of Tas.				19
Rest of Tas.			0	19
Rest of Tas.			1	50
Rest of Tas.			2	57
Rest of Tas.			3	65
Rest of Tas.			4	39
Rest of Tas.			5	10
Rest of Tas.			6	18
Rest of Tas.		1 storey		337
Rest of Tas.		1 storey	0	30
Rest of Tas.		1 storey	1	1510
Rest of Tas.		1 storey	2	3567
Rest of Tas.		1 storey	3	674
Rest of Tas.		1 storey	4	77
Rest of Tas.		1 storey	5	21
Rest of Tas.		1 storey	6	10
Rest of Tas.		2 storeys or more		14
Rest of Tas.		2 storeys or more	0	11
Rest of Tas.		2 storeys or more	1	104
Rest of Tas.		2 storeys or more	2	589
Rest of Tas.		2 storeys or more	3	464
Rest of Tas.		2 storeys or more	4	157
Rest of Tas.		2 storeys or more	5	49
Rest of Tas.		2 storeys or more	6	11
Rest of Tas.	(Other)			106
Rest of Tas.	(Other)		0	116
Rest of Tas.	(Other)		1	354
Rest of Tas.	(Other)		2	208
Rest of Tas.	(Other)		3	157
Rest of Tas.	(Other)		4	33
Rest of Tas.	(Other)		5	11
Rest of Tas.	(Other)		6	10
Rest of Tas.	Flat/apartment		0	3
Rest of Tas.	Flat/apartment	1 or 2 storey block		81
Rest of Tas.	Flat/apartment	1 or 2 storey block	0	37
Rest of Tas.	Flat/apartment	1 or 2 storey block	1	844
Rest of Tas.	Flat/apartment	1 or 2 storey block	2	2036
Rest of Tas.	Flat/apartment	1 or 2 storey block	3	364
Rest of Tas.	Flat/apartment	1 or 2 storey block	4	47
Rest of Tas.	Flat/apartment	1 or 2 storey block	5	17
Rest of Tas.	Flat/apartment	1 or 2 storey block	6	7
Rest of Tas.	Flat/apartment	3 storey block		5
Rest of Tas.	Flat/apartment	3 storey block	0	17
Rest of Tas.	Flat/apartment	3 storey block	1	47
Rest of Tas.	Flat/apartment	3 storey block	2	80
Rest of Tas.	Flat/apartment	3 storey block	3	6
Rest of Tas.	Flat/apartment	3 storey block	4	4
Rest of Tas.	Flat/apartment	4-8 storey block	0	7
Rest of Tas.	Flat/apartment	4-8 storey block	1	26
Rest of Tas.	Flat/apartment	4-8 storey block	2	29
Rest of Tas.	Flat/apartment	4-8 storey block	3	12
Rest of Tas.	Flat/apartment	4-8 storey block	4	4
Rest of Tas.	Flat/apartment	9 or more storey block	2	6
Rest of Tas.	Flat/apartment	9 or more storey block	3	9
Rest of Tas.	Flat/apartment	Attached to a house	1	53
Rest of Tas.	Flat/apartment	Attached to a house	2	47
Rest of Tas.	Flat/apartment	Attached to a house	3	28
Rest of Tas.	Flat/apartment	Attached to a house	4	10
Rest of Tas.	Flat/apartment	Attached to a house	5	6
Rest of Tas.	Separate house			1586
Rest of Tas.	Separate house		0	394
Rest of Tas.	Separate house		1	2570
Rest of Tas.	Separate house		2	17788
Rest of Tas.	Separate house		3	61126
Rest of Tas.	Separate house		4	22176
Rest of Tas.	Separate house		5	4068
Rest of Tas.	Separate house		6	999
Greater Darwin				30
Greater Darwin			0	9
Greater Darwin			1	51
Greater Darwin			2	37
Greater Darwin			3	10
Greater Darwin			4	10
Greater Darwin			5	3
Greater Darwin		1 storey		71
Greater Darwin		1 storey	0	13
Greater Darwin		1 storey	1	341
Greater Darwin		1 storey	2	1486
Greater Darwin		1 storey	3	785
Greater Darwin		1 storey	4	52
Greater Darwin		1 storey	5	3
Greater Darwin		2 storeys or more		33
Greater Darwin		2 storeys or more	0	9
Greater Darwin		2 storeys or more	1	98
Greater Darwin		2 storeys or more	2	1201
Greater Darwin		2 storeys or more	3	734
Greater Darwin		2 storeys or more	4	107
Greater Darwin		2 storeys or more	5	4
Greater Darwin		2 storeys or more	6	6
Greater Darwin	(Other)			44
Greater Darwin	(Other)		0	98
Greater Darwin	(Other)		1	199
Greater Darwin	(Other)		2	34
Greater Darwin	(Other)		3	35
Greater Darwin	(Other)		4	21
Greater Darwin	(Other)		5	4
Greater Darwin	(Other)		6	3
Greater Darwin	Flat/apartment	1 or 2 storey block		106
Greater Darwin	Flat/apartment	1 or 2 storey block	0	18
Greater Darwin	Flat/apartment	1 or 2 storey block	1	499
Greater Darwin	Flat/apartment	1 or 2 storey block	2	2262
Greater Darwin	Flat/apartment	1 or 2 storey block	3	1031
Greater Darwin	Flat/apartment	1 or 2 storey block	4	102
Greater Darwin	Flat/apartment	1 or 2 storey block	5	8
Greater Darwin	Flat/apartment	1 or 2 storey block	6	4
Greater Darwin	Flat/apartment	3 storey block		43
Greater Darwin	Flat/apartment	3 storey block	0	45
Greater Darwin	Flat/apartment	3 storey block	1	293
Greater Darwin	Flat/apartment	3 storey block	2	1178
Greater Darwin	Flat/apartment	3 storey block	3	361
Greater Darwin	Flat/apartment	3 storey block	4	5
Greater Darwin	Flat/apartment	4-8 storey block		49
Greater Darwin	Flat/apartment	4-8 storey block	0	14
Greater Darwin	Flat/apartment	4-8 storey block	1	308
Greater Darwin	Flat/apartment	4-8 storey block	2	1838
Greater Darwin	Flat/apartment	4-8 storey block	3	1005
Greater Darwin	Flat/apartment	4-8 storey block	4	24
Greater Darwin	Flat/apartment	4-8 storey block	6	6
Greater Darwin	Flat/apartment	9 or more storey block		31
Greater Darwin	Flat/apartment	9 or more storey block	0	38
Greater Darwin	Flat/apartment	9 or more storey block	1	461
Greater Darwin	Flat/apartment	9 or more storey block	2	1071
Greater Darwin	Flat/apartment	9 or more storey block	3	935
Greater Darwin	Flat/apartment	9 or more storey block	4	44
Greater Darwin	Flat/apartment	9 or more storey block	5	5
Greater Darwin	Flat/apartment	Attached to a house	1	13
Greater Darwin	Flat/apartment	Attached to a house	2	3
Greater Darwin	Separate house			462
Greater Darwin	Separate house		0	130
Greater Darwin	Separate house		1	598
Greater Darwin	Separate house		2	1661
Greater Darwin	Separate house		3	14462
Greater Darwin	Separate house		4	9954
Greater Darwin	Separate house		5	2102
Greater Darwin	Separate house		6	570
Rest of NT				71
Rest of NT			0	50
Rest of NT			1	151
Rest of NT			2	109
Rest of NT			3	78
Rest of NT			4	38
Rest of NT			5	10
Rest of NT			6	14
Rest of NT		1 storey		89
Rest of NT		1 storey	0	36
Rest of NT		1 storey	1	676
Rest of NT		1 storey	2	1540
Rest of NT		1 storey	3	571
Rest of NT		1 storey	4	78
Rest of NT		1 storey	5	4
Rest of NT		1 storey	6	3
Rest of NT		2 storeys or more		28
Rest of NT		2 storeys or more	0	8
Rest of NT		2 storeys or more	1	139
Rest of NT		2 storeys or more	2	606
Rest of NT		2 storeys or more	3	224
Rest of NT		2 storeys or more	4	13
Rest of NT	(Other)			75
Rest of NT	(Other)		0	187
Rest of NT	(Other)		1	297
Rest of NT	(Other)		2	82
Rest of NT	(Other)		3	60
Rest of NT	(Other)		4	35
Rest of NT	(Other)		5	3
Rest of NT	(Other)		6	5
Rest of NT	Flat/apartment	1 or 2 storey block		29
Rest of NT	Flat/apartment	1 or 2 storey block	0	52
Rest of NT	Flat/apartment	1 or 2 storey block	1	305
Rest of NT	Flat/apartment	1 or 2 storey block	2	300
Rest of NT	Flat/apartment	1 or 2 storey block	3	71
Rest of NT	Flat/apartment	1 or 2 storey block	4	3
Rest of NT	Flat/apartment	1 or 2 storey block	5	3
Rest of NT	Flat/apartment	1 or 2 storey block	6	4
Rest of NT	Flat/apartment	3 storey block		3
Rest of NT	Flat/apartment	3 storey block	0	3
Rest of NT	Flat/apartment	3 storey block	1	14
Rest of NT	Flat/apartment	3 storey block	2	9
Rest of NT	Flat/apartment	4-8 storey block	1	4
Rest of NT	Flat/apartment	4-8 storey block	2	11
Rest of NT	Flat/apartment	Attached to a house		5
Rest of NT	Flat/apartment	Attached to a house	1	6
Rest of NT	Flat/apartment	Attached to a house	2	4
Rest of NT	Separate house			383
Rest of NT	Separate house		0	109
Rest of NT	Separate house		1	712
Rest of NT	Separate house		2	2382
Rest of NT	Separate house		3	9353
Rest of NT	Separate house		4	3550
Rest of NT	Separate house		5	585
Rest of NT	Separate house		6	198
Australian Capital Territory				9
Australian Capital Territory			0	6
Australian Capital Territory			1	52
Australian Capital Territory			2	54
Australian Capital Territory			3	44
Australian Capital Territory			4	33
Australian Capital Territory			5	6
Australian Capital Territory			6	5
Australian Capital Territory		1 storey		147
Australian Capital Territory		1 storey	0	33
Australian Capital Territory		1 storey	1	841
Australian Capital Territory		1 storey	2	4913
Australian Capital Territory		1 storey	3	7029
Australian Capital Territory		1 storey	4	726
Australian Capital Territory		1 storey	5	55
Australian Capital Territory		1 storey	6	18
Australian Capital Territory		2 storeys or more		107
Australian Capital Territory		2 storeys or more	0	34
Australian Capital Territory		2 storeys or more	1	1140
Australian Capital Territory		2 storeys or more	2	4264
Australian Capital Territory		2 storeys or more	3	7882
Australian Capital Territory		2 storeys or more	4	1618
Australian Capital Territory		2 storeys or more	5	102
Australian Capital Territory		2 storeys or more	6	22
Australian Capital Territory	(Other)			4
Australian Capital Territory	(Other)		0	5
Australian Capital Territory	(Other)		1	56
Australian Capital Territory	(Other)		2	75
Australian Capital Territory	(Other)		3	24
Australian Capital Territory	(Other)		4	3
Australian Capital Territory	Flat/apartment		0	14
Australian Capital Territory	Flat/apartment	1 or 2 storey block		75
Australian Capital Territory	Flat/apartment	1 or 2 storey block	0	58
Australian Capital Territory	Flat/apartment	1 or 2 storey block	1	1487
Australian Capital Territory	Flat/apartment	1 or 2 storey block	2	2727
Australian Capital Territory	Flat/apartment	1 or 2 storey block	3	1136
Australian Capital Territory	Flat/apartment	1 or 2 storey block	4	141
Australian Capital Territory	Flat/apartment	1 or 2 storey block	5	8
Australian Capital Territory	Flat/apartment	1 or 2 storey block	6	5
Australian Capital Territory	Flat/apartment	3 storey block		75
Australian Capital Territory	Flat/apartment	3 storey block	0	69
Australian Capital Territory	Flat/apartment	3 storey block	1	2476
Australian Capital Territory	Flat/apartment	3 storey block	2	4147
Australian Capital Territory	Flat/apartment	3 storey block	3	894
Australian Capital Territory	Flat/apartment	3 storey block	4	82
Australian Capital Territory	Flat/apartment	4-8 storey block		94
Australian Capital Territory	Flat/apartment	4-8 storey block	0	68
Australian Capital Territory	Flat/apartment	4-8 storey block	1	4731
Australian Capital Territory	Flat/apartment	4-8 storey block	2	6144
Australian Capital Territory	Flat/apartment	4-8 storey block	3	1528
Australian Capital Territory	Flat/apartment	4-8 storey block	4	68
Australian Capital Territory	Flat/apartment	4-8 storey block	5	4
Australian Capital Territory	Flat/apartment	9 or more storey block		56
Australian Capital Territory	Flat/apartment	9 or more storey block	0	49
Australian Capital Territory	Flat/apartment	9 or more storey block	1	2439
Australian Capital Territory	Flat/apartment	9 or more storey block	2	2961
Australian Capital Territory	Flat/apartment	9 or more storey block	3	675
Australian Capital Territory	Flat/apartment	9 or more storey block	4	21
Australian Capital Territory	Flat/apartment	Attached to a house		3
Australian Capital Territory	Flat/apartment	Attached to a house	1	165
Australian Capital Territory	Flat/apartment	Attached to a house	2	162
Australian Capital Territory	Flat/apartment	Attached to a house	3	65
Australian Capital Territory	Flat/apartment	Attached to a house	4	17
Australian Capital Territory	Flat/apartment	Attached to a house	5	7
Australian Capital Territory	Separate house			851
Australian Capital Territory	Separate house		0	67
Australian Capital Territory	Separate house		1	807
Australian Capital Territory	Separate house		2	4037
Australian Capital Territory	Separate house		3	43261
Australian Capital Territory	Separate house		4	45726
Australian Capital Territory	Separate house		5	9966
Australian Capital Territory	Separate house		6	1717
Other Territories				7
Other Territories			1	8
Other Territories			2	5
Other Territories			3	5
Other Territories		1 storey		3
Other Territories		1 storey	1	3
Other Territories		1 storey	2	43
Other Territories		1 storey	3	37
Other Territories		1 storey	4	3
Other Territories		1 storey	5	4
Other Territories		2 storeys or more	2	4
Other Territories		2 storeys or more	3	6
Other Territories	(Other)		3	3
Other Territories	Flat/apartment	1 or 2 storey block		3
Other Territories	Flat/apartment	1 or 2 storey block	1	32
Other Territories	Flat/apartment	1 or 2 storey block	2	29
Other Territories	Flat/apartment	1 or 2 storey block	3	14
Other Territories	Flat/apartment	3 storey block	2	13
Other Territories	Flat/apartment	3 storey block	3	25
Other Territories	Flat/apartment	3 storey block	4	3
Other Territories	Flat/apartment	4-8 storey block	3	9
Other Territories	Flat/apartment	Attached to a house	1	3
Other Territories	Flat/apartment	Attached to a house	2	3
Other Territories	Separate house			50
Other Territories	Separate house		1	75
Other Territories	Separate house		2	260
Other Territories	Separate house		3	546
Other Territories	Separate house		4	266
Other Territories	Separate house		5	51
Other Territories	Separate house		6	14
