GCCSA_NAME21	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Greater Melbourne	75-84	Speaks English well or very well	0	2010	570
Greater Melbourne	75-84	Speaks English well or very well	0	2015	430
Greater Melbourne	75-84	Speaks English well or very well	0	2016	72
Greater Melbourne	75-84	Speaks English well or very well	0	2017	51
Greater Melbourne	75-84	Speaks English well or very well	0	2018	66
Greater Melbourne	75-84	Speaks English well or very well	0	2019	175
Greater Melbourne	75-84	Speaks English well or very well	0	2020	95
Greater Melbourne	75-84	Speaks English well or very well	0	2021	19
Greater Melbourne	85+				674
Greater Melbourne	85+			2005	147
Greater Melbourne	85+		0		147
Greater Melbourne	85+		0	2005	176
Greater Melbourne	85+		0	2015	3
Greater Melbourne	85+		1		1126
Greater Melbourne	85+		1	2005	13878
Greater Melbourne	85+		1	2010	166
Greater Melbourne	85+		1	2015	71
Greater Melbourne	85+		1	2016	17
Greater Melbourne	85+		1	2017	17
Greater Melbourne	85+		1	2018	19
Greater Melbourne	85+		1	2019	26
Greater Melbourne	85+		1	2020	6
Greater Melbourne	85+		1	2021	3
Greater Melbourne	85+	Speaks English not well or not at all	0		1124
Greater Melbourne	85+	Speaks English not well or not at all	0	2005	14737
Greater Melbourne	85+	Speaks English not well or not at all	0	2010	428
Greater Melbourne	85+	Speaks English not well or not at all	0	2015	281
Greater Melbourne	85+	Speaks English not well or not at all	0	2016	59
Greater Melbourne	85+	Speaks English not well or not at all	0	2017	56
Greater Melbourne	85+	Speaks English not well or not at all	0	2018	32
Greater Melbourne	85+	Speaks English not well or not at all	0	2019	86
Greater Melbourne	85+	Speaks English not well or not at all	0	2020	30
Greater Melbourne	85+	Speaks English not well or not at all	0	2021	6
Greater Melbourne	85+	Speaks English well or very well	0		869
Greater Melbourne	85+	Speaks English well or very well	0	2005	14120
Greater Melbourne	85+	Speaks English well or very well	0	2010	123
Greater Melbourne	85+	Speaks English well or very well	0	2015	63
Greater Melbourne	85+	Speaks English well or very well	0	2016	13
Greater Melbourne	85+	Speaks English well or very well	0	2017	21
Greater Melbourne	85+	Speaks English well or very well	0	2018	9
Greater Melbourne	85+	Speaks English well or very well	0	2019	31
Greater Melbourne	85+	Speaks English well or very well	0	2020	12
Greater Melbourne	85+	Speaks English well or very well	0	2021	3
Rest of Vic.	0-14				15
Rest of Vic.	0-14			2015	8
Rest of Vic.	0-14			2016	3
Rest of Vic.	0-14			2018	3
Rest of Vic.	0-14			2019	3
Rest of Vic.	0-14		0		12
Rest of Vic.	0-14		0	2016	4
Rest of Vic.	0-14		0	2018	6
Rest of Vic.	0-14		0	2019	9
Rest of Vic.	0-14		0	2020	16
Rest of Vic.	0-14		0	2021	10
Rest of Vic.	0-14		1		217
Rest of Vic.	0-14		1	2010	594
Rest of Vic.	0-14		1	2015	1536
Rest of Vic.	0-14		1	2016	345
Rest of Vic.	0-14		1	2017	292
Rest of Vic.	0-14		1	2018	347
Rest of Vic.	0-14		1	2019	343
Rest of Vic.	0-14		1	2020	208
Rest of Vic.	0-14		1	2021	92
Rest of Vic.	0-14	Speaks English not well or not at all	0		68
Rest of Vic.	0-14	Speaks English not well or not at all	0	2010	7
Rest of Vic.	0-14	Speaks English not well or not at all	0	2015	20
Rest of Vic.	0-14	Speaks English not well or not at all	0	2016	19
Rest of Vic.	0-14	Speaks English not well or not at all	0	2017	48
Rest of Vic.	0-14	Speaks English not well or not at all	0	2018	89
Rest of Vic.	0-14	Speaks English not well or not at all	0	2019	137
Rest of Vic.	0-14	Speaks English not well or not at all	0	2020	78
Rest of Vic.	0-14	Speaks English not well or not at all	0	2021	72
Rest of Vic.	0-14	Speaks English well or very well	0		158
Rest of Vic.	0-14	Speaks English well or very well	0	2010	360
Rest of Vic.	0-14	Speaks English well or very well	0	2015	1395
Rest of Vic.	0-14	Speaks English well or very well	0	2016	504
Rest of Vic.	0-14	Speaks English well or very well	0	2017	529
Rest of Vic.	0-14	Speaks English well or very well	0	2018	639
Rest of Vic.	0-14	Speaks English well or very well	0	2019	718
Rest of Vic.	0-14	Speaks English well or very well	0	2020	256
Rest of Vic.	0-14	Speaks English well or very well	0	2021	119
Rest of Vic.	15-24				79
Rest of Vic.	15-24			2010	7
Rest of Vic.	15-24			2015	4
Rest of Vic.	15-24			2021	6
Rest of Vic.	15-24		0		10
Rest of Vic.	15-24		0	2010	7
Rest of Vic.	15-24		0	2015	5
Rest of Vic.	15-24		0	2019	6
Rest of Vic.	15-24		1		131
Rest of Vic.	15-24		1	2005	942
Rest of Vic.	15-24		1	2010	1778
Rest of Vic.	15-24		1	2015	822
Rest of Vic.	15-24		1	2016	135
Rest of Vic.	15-24		1	2017	106
Rest of Vic.	15-24		1	2018	144
Rest of Vic.	15-24		1	2019	219
Rest of Vic.	15-24		1	2020	109
Rest of Vic.	15-24		1	2021	37
Rest of Vic.	15-24	Speaks English not well or not at all	0		33
Rest of Vic.	15-24	Speaks English not well or not at all	0	2005	12
Rest of Vic.	15-24	Speaks English not well or not at all	0	2010	14
Rest of Vic.	15-24	Speaks English not well or not at all	0	2015	59
Rest of Vic.	15-24	Speaks English not well or not at all	0	2016	45
Rest of Vic.	15-24	Speaks English not well or not at all	0	2017	117
Rest of Vic.	15-24	Speaks English not well or not at all	0	2018	163
Rest of Vic.	15-24	Speaks English not well or not at all	0	2019	171
Rest of Vic.	15-24	Speaks English not well or not at all	0	2020	53
Rest of Vic.	15-24	Speaks English not well or not at all	0	2021	17
Rest of Vic.	15-24	Speaks English well or very well	0		128
Rest of Vic.	15-24	Speaks English well or very well	0	2005	326
Rest of Vic.	15-24	Speaks English well or very well	0	2010	1628
Rest of Vic.	15-24	Speaks English well or very well	0	2015	1595
Rest of Vic.	15-24	Speaks English well or very well	0	2016	511
Rest of Vic.	15-24	Speaks English well or very well	0	2017	558
Rest of Vic.	15-24	Speaks English well or very well	0	2018	785
Rest of Vic.	15-24	Speaks English well or very well	0	2019	1165
Rest of Vic.	15-24	Speaks English well or very well	0	2020	480
Rest of Vic.	15-24	Speaks English well or very well	0	2021	88
Rest of Vic.	25-34				362
Rest of Vic.	25-34			2005	4
Rest of Vic.	25-34			2010	5
Rest of Vic.	25-34			2015	9
Rest of Vic.	25-34			2018	3
Rest of Vic.	25-34			2019	3
Rest of Vic.	25-34			2020	3
Rest of Vic.	25-34		0		14
Rest of Vic.	25-34		0	2005	5
Rest of Vic.	25-34		0	2010	4
Rest of Vic.	25-34		0	2015	19
Rest of Vic.	25-34		0	2016	3
Rest of Vic.	25-34		0	2017	3
Rest of Vic.	25-34		0	2018	8
Rest of Vic.	25-34		0	2019	11
Rest of Vic.	25-34		0	2020	4
Rest of Vic.	25-34		0	2021	3
Rest of Vic.	25-34		1		240
Rest of Vic.	25-34		1	2005	2321
Rest of Vic.	25-34		1	2010	1204
Rest of Vic.	25-34		1	2015	1704
Rest of Vic.	25-34		1	2016	424
Rest of Vic.	25-34		1	2017	403
Rest of Vic.	25-34		1	2018	489
Rest of Vic.	25-34		1	2019	518
Rest of Vic.	25-34		1	2020	221
Rest of Vic.	25-34		1	2021	77
Rest of Vic.	25-34	Speaks English not well or not at all	0		104
Rest of Vic.	25-34	Speaks English not well or not at all	0	2005	62
Rest of Vic.	25-34	Speaks English not well or not at all	0	2010	232
Rest of Vic.	25-34	Speaks English not well or not at all	0	2015	526
Rest of Vic.	25-34	Speaks English not well or not at all	0	2016	265
Rest of Vic.	25-34	Speaks English not well or not at all	0	2017	346
Rest of Vic.	25-34	Speaks English not well or not at all	0	2018	404
Rest of Vic.	25-34	Speaks English not well or not at all	0	2019	545
Rest of Vic.	25-34	Speaks English not well or not at all	0	2020	130
Rest of Vic.	25-34	Speaks English not well or not at all	0	2021	22
Rest of Vic.	25-34	Speaks English well or very well	0		279
Rest of Vic.	25-34	Speaks English well or very well	0	2005	969
Rest of Vic.	25-34	Speaks English well or very well	0	2010	2449
Rest of Vic.	25-34	Speaks English well or very well	0	2015	4699
Rest of Vic.	25-34	Speaks English well or very well	0	2016	1641
Rest of Vic.	25-34	Speaks English well or very well	0	2017	1818
Rest of Vic.	25-34	Speaks English well or very well	0	2018	2188
Rest of Vic.	25-34	Speaks English well or very well	0	2019	2453
Rest of Vic.	25-34	Speaks English well or very well	0	2020	708
Rest of Vic.	25-34	Speaks English well or very well	0	2021	207
Rest of Vic.	35-44				306
Rest of Vic.	35-44			2005	10
Rest of Vic.	35-44			2010	5
Rest of Vic.	35-44			2015	4
Rest of Vic.	35-44			2016	3
Rest of Vic.	35-44		0		12
Rest of Vic.	35-44		0	2005	3
Rest of Vic.	35-44		0	2010	11
Rest of Vic.	35-44		0	2015	9
Rest of Vic.	35-44		0	2017	5
Rest of Vic.	35-44		0	2018	8
Rest of Vic.	35-44		0	2019	6
Rest of Vic.	35-44		0	2020	3
Rest of Vic.	35-44		1		267
Rest of Vic.	35-44		1	2005	5068
Rest of Vic.	35-44		1	2010	2571
Rest of Vic.	35-44		1	2015	1815
Rest of Vic.	35-44		1	2016	223
Rest of Vic.	35-44		1	2017	216
Rest of Vic.	35-44		1	2018	217
Rest of Vic.	35-44		1	2019	222
Rest of Vic.	35-44		1	2020	101
Rest of Vic.	35-44		1	2021	42
Rest of Vic.	35-44	Speaks English not well or not at all	0		84
Rest of Vic.	35-44	Speaks English not well or not at all	0	2005	147
Rest of Vic.	35-44	Speaks English not well or not at all	0	2010	457
Rest of Vic.	35-44	Speaks English not well or not at all	0	2015	603
Rest of Vic.	35-44	Speaks English not well or not at all	0	2016	204
Rest of Vic.	35-44	Speaks English not well or not at all	0	2017	206
Rest of Vic.	35-44	Speaks English not well or not at all	0	2018	258
Rest of Vic.	35-44	Speaks English not well or not at all	0	2019	252
Rest of Vic.	35-44	Speaks English not well or not at all	0	2020	63
Rest of Vic.	35-44	Speaks English not well or not at all	0	2021	23
Rest of Vic.	35-44	Speaks English well or very well	0		205
Rest of Vic.	35-44	Speaks English well or very well	0	2005	2250
Rest of Vic.	35-44	Speaks English well or very well	0	2010	5195
Rest of Vic.	35-44	Speaks English well or very well	0	2015	3873
Rest of Vic.	35-44	Speaks English well or very well	0	2016	780
Rest of Vic.	35-44	Speaks English well or very well	0	2017	764
Rest of Vic.	35-44	Speaks English well or very well	0	2018	779
Rest of Vic.	35-44	Speaks English well or very well	0	2019	837
Rest of Vic.	35-44	Speaks English well or very well	0	2020	330
Rest of Vic.	35-44	Speaks English well or very well	0	2021	139
Rest of Vic.	45-54				205
Rest of Vic.	45-54			2005	16
Rest of Vic.	45-54			2016	3
Rest of Vic.	45-54		0		10
Rest of Vic.	45-54		0	2005	21
Rest of Vic.	45-54		0	2010	4
Rest of Vic.	45-54		0	2015	3
Rest of Vic.	45-54		1		433
Rest of Vic.	45-54		1	2005	10335
Rest of Vic.	45-54		1	2010	1970
Rest of Vic.	45-54		1	2015	1055
Rest of Vic.	45-54		1	2016	144
Rest of Vic.	45-54		1	2017	120
Rest of Vic.	45-54		1	2018	102
Rest of Vic.	45-54		1	2019	108
Rest of Vic.	45-54		1	2020	67
Rest of Vic.	45-54		1	2021	29
Rest of Vic.	45-54	Speaks English not well or not at all	0		63
Rest of Vic.	45-54	Speaks English not well or not at all	0	2005	379
Rest of Vic.	45-54	Speaks English not well or not at all	0	2010	427
Rest of Vic.	45-54	Speaks English not well or not at all	0	2015	456
Rest of Vic.	45-54	Speaks English not well or not at all	0	2016	104
Rest of Vic.	45-54	Speaks English not well or not at all	0	2017	135
Rest of Vic.	45-54	Speaks English not well or not at all	0	2018	130
Rest of Vic.	45-54	Speaks English not well or not at all	0	2019	155
Rest of Vic.	45-54	Speaks English not well or not at all	0	2020	57
Rest of Vic.	45-54	Speaks English not well or not at all	0	2021	14
Rest of Vic.	45-54	Speaks English well or very well	0		142
Rest of Vic.	45-54	Speaks English well or very well	0	2005	3099
Rest of Vic.	45-54	Speaks English well or very well	0	2010	2111
Rest of Vic.	45-54	Speaks English well or very well	0	2015	1208
Rest of Vic.	45-54	Speaks English well or very well	0	2016	233
Rest of Vic.	45-54	Speaks English well or very well	0	2017	195
Rest of Vic.	45-54	Speaks English well or very well	0	2018	200
Rest of Vic.	45-54	Speaks English well or very well	0	2019	184
Rest of Vic.	45-54	Speaks English well or very well	0	2020	89
Rest of Vic.	45-54	Speaks English well or very well	0	2021	33
Rest of Vic.	55-64				133
Rest of Vic.	55-64			2005	25
Rest of Vic.	55-64			2010	6
Rest of Vic.	55-64		0		4
Rest of Vic.	55-64		0	2005	21
Rest of Vic.	55-64		0	2010	3
Rest of Vic.	55-64		0	2018	4
Rest of Vic.	55-64		0	2019	6
Rest of Vic.	55-64		1		704
Rest of Vic.	55-64		1	2005	19024
Rest of Vic.	55-64		1	2010	1069
Rest of Vic.	55-64		1	2015	432
Rest of Vic.	55-64		1	2016	58
Rest of Vic.	55-64		1	2017	43
Rest of Vic.	55-64		1	2018	54
Rest of Vic.	55-64		1	2019	65
Rest of Vic.	55-64		1	2020	31
Rest of Vic.	55-64		1	2021	21
Rest of Vic.	55-64	Speaks English not well or not at all	0		79
Rest of Vic.	55-64	Speaks English not well or not at all	0	2005	632
Rest of Vic.	55-64	Speaks English not well or not at all	0	2010	292
Rest of Vic.	55-64	Speaks English not well or not at all	0	2015	321
Rest of Vic.	55-64	Speaks English not well or not at all	0	2016	51
Rest of Vic.	55-64	Speaks English not well or not at all	0	2017	64
Rest of Vic.	55-64	Speaks English not well or not at all	0	2018	97
Rest of Vic.	55-64	Speaks English not well or not at all	0	2019	175
Rest of Vic.	55-64	Speaks English not well or not at all	0	2020	76
Rest of Vic.	55-64	Speaks English not well or not at all	0	2021	8
Rest of Vic.	55-64	Speaks English well or very well	0		134
Rest of Vic.	55-64	Speaks English well or very well	0	2005	4024
Rest of Vic.	55-64	Speaks English well or very well	0	2010	609
Rest of Vic.	55-64	Speaks English well or very well	0	2015	289
Rest of Vic.	55-64	Speaks English well or very well	0	2016	50
Rest of Vic.	55-64	Speaks English well or very well	0	2017	55
Rest of Vic.	55-64	Speaks English well or very well	0	2018	51
Rest of Vic.	55-64	Speaks English well or very well	0	2019	80
Rest of Vic.	55-64	Speaks English well or very well	0	2020	37
Rest of Vic.	55-64	Speaks English well or very well	0	2021	7
Rest of Vic.	65-74				104
Rest of Vic.	65-74			2005	52
Rest of Vic.	65-74		0		12
Rest of Vic.	65-74		0	2005	34
Rest of Vic.	65-74		1		945
Rest of Vic.	65-74		1	2005	25312
Rest of Vic.	65-74		1	2010	359
Rest of Vic.	65-74		1	2015	223
Rest of Vic.	65-74		1	2016	40
Rest of Vic.	65-74		1	2017	36
Rest of Vic.	65-74		1	2018	25
Rest of Vic.	65-74		1	2019	38
Rest of Vic.	65-74		1	2020	30
Rest of Vic.	65-74		1	2021	7
Rest of Vic.	65-74	Speaks English not well or not at all	0		56
Rest of Vic.	65-74	Speaks English not well or not at all	0	2005	842
Rest of Vic.	65-74	Speaks English not well or not at all	0	2010	154
Rest of Vic.	65-74	Speaks English not well or not at all	0	2015	186
Rest of Vic.	65-74	Speaks English not well or not at all	0	2016	32
Rest of Vic.	65-74	Speaks English not well or not at all	0	2017	33
Rest of Vic.	65-74	Speaks English not well or not at all	0	2018	42
Rest of Vic.	65-74	Speaks English not well or not at all	0	2019	142
Rest of Vic.	65-74	Speaks English not well or not at all	0	2020	53
Rest of Vic.	65-74	Speaks English well or very well	0		155
Rest of Vic.	65-74	Speaks English well or very well	0	2005	4713
Rest of Vic.	65-74	Speaks English well or very well	0	2010	114
Rest of Vic.	65-74	Speaks English well or very well	0	2015	83
Rest of Vic.	65-74	Speaks English well or very well	0	2016	22
Rest of Vic.	65-74	Speaks English well or very well	0	2017	12
Rest of Vic.	65-74	Speaks English well or very well	0	2018	9
Rest of Vic.	65-74	Speaks English well or very well	0	2019	42
Rest of Vic.	65-74	Speaks English well or very well	0	2020	44
Rest of Vic.	65-74	Speaks English well or very well	0	2021	11
Rest of Vic.	75-84				127
Rest of Vic.	75-84			2005	67
Rest of Vic.	75-84		0		14
Rest of Vic.	75-84		0	2005	33
Rest of Vic.	75-84		1		753
Rest of Vic.	75-84		1	2005	15188
Rest of Vic.	75-84		1	2010	135
Rest of Vic.	75-84		1	2015	86
Rest of Vic.	75-84		1	2016	11
Rest of Vic.	75-84		1	2017	14
Rest of Vic.	75-84		1	2018	9
Rest of Vic.	75-84		1	2019	24
Rest of Vic.	75-84		1	2020	10
Rest of Vic.	75-84		1	2021	6
Rest of Vic.	75-84	Speaks English not well or not at all	0		54
Rest of Vic.	75-84	Speaks English not well or not at all	0	2005	1100
Rest of Vic.	75-84	Speaks English not well or not at all	0	2010	50
Rest of Vic.	75-84	Speaks English not well or not at all	0	2015	60
Rest of Vic.	75-84	Speaks English not well or not at all	0	2016	10
Rest of Vic.	75-84	Speaks English not well or not at all	0	2017	12
Rest of Vic.	75-84	Speaks English not well or not at all	0	2018	8
Rest of Vic.	75-84	Speaks English not well or not at all	0	2019	25
Rest of Vic.	75-84	Speaks English not well or not at all	0	2020	11
Rest of Vic.	75-84	Speaks English well or very well	0		154
Rest of Vic.	75-84	Speaks English well or very well	0	2005	3768
Rest of Vic.	75-84	Speaks English well or very well	0	2010	30
Rest of Vic.	75-84	Speaks English well or very well	0	2015	17
Rest of Vic.	75-84	Speaks English well or very well	0	2018	3
Rest of Vic.	75-84	Speaks English well or very well	0	2019	12
Rest of Vic.	75-84	Speaks English well or very well	0	2021	3
Rest of Vic.	85+				151
Rest of Vic.	85+			2005	46
Rest of Vic.	85+		0		12
Rest of Vic.	85+		0	2005	23
Rest of Vic.	85+		1		433
Rest of Vic.	85+		1	2005	4212
Rest of Vic.	85+		1	2010	27
Rest of Vic.	85+		1	2015	15
Rest of Vic.	85+		1	2016	7
Rest of Vic.	85+		1	2019	9
Rest of Vic.	85+	Speaks English not well or not at all	0		78
Rest of Vic.	85+	Speaks English not well or not at all	0	2005	800
Rest of Vic.	85+	Speaks English not well or not at all	0	2010	10
Rest of Vic.	85+	Speaks English not well or not at all	0	2015	10
Rest of Vic.	85+	Speaks English not well or not at all	0	2016	3
Rest of Vic.	85+	Speaks English not well or not at all	0	2019	7
Rest of Vic.	85+	Speaks English well or very well	0		138
Rest of Vic.	85+	Speaks English well or very well	0	2005	1648
Rest of Vic.	85+	Speaks English well or very well	0	2010	3
Rest of Vic.	85+	Speaks English well or very well	0	2015	5
Rest of Vic.	85+	Speaks English well or very well	0	2018	3
Rest of Vic.	85+	Speaks English well or very well	0	2019	3
No usual address (Qld)	0-14		1		4
No usual address (Qld)	0-14		1	2015	11
No usual address (Qld)	0-14		1	2016	3
No usual address (Qld)	0-14		1	2017	4
No usual address (Qld)	0-14		1	2019	3
No usual address (Qld)	0-14		1	2020	5
No usual address (Qld)	0-14		1	2021	22
No usual address (Qld)	0-14	Speaks English well or very well	0	2015	4
No usual address (Qld)	0-14	Speaks English well or very well	0	2016	8
No usual address (Qld)	0-14	Speaks English well or very well	0	2019	9
No usual address (Qld)	0-14	Speaks English well or very well	0	2021	20
No usual address (Qld)	15-24				10
No usual address (Qld)	15-24			2019	3
No usual address (Qld)	15-24		1		15
No usual address (Qld)	15-24		1	2005	8
No usual address (Qld)	15-24		1	2010	25
No usual address (Qld)	15-24		1	2015	16
No usual address (Qld)	15-24		1	2018	11
No usual address (Qld)	15-24		1	2019	30
No usual address (Qld)	15-24		1	2020	12
No usual address (Qld)	15-24		1	2021	5
No usual address (Qld)	15-24	Speaks English not well or not at all	0	2019	3
No usual address (Qld)	15-24	Speaks English well or very well	0		6
No usual address (Qld)	15-24	Speaks English well or very well	0	2005	3
No usual address (Qld)	15-24	Speaks English well or very well	0	2010	16
No usual address (Qld)	15-24	Speaks English well or very well	0	2015	10
No usual address (Qld)	15-24	Speaks English well or very well	0	2016	4
No usual address (Qld)	15-24	Speaks English well or very well	0	2017	6
No usual address (Qld)	15-24	Speaks English well or very well	0	2018	5
No usual address (Qld)	15-24	Speaks English well or very well	0	2019	32
No usual address (Qld)	15-24	Speaks English well or very well	0	2020	33
No usual address (Qld)	15-24	Speaks English well or very well	0	2021	4
No usual address (Qld)	25-34				17
No usual address (Qld)	25-34		1		13
No usual address (Qld)	25-34		1	2005	36
No usual address (Qld)	25-34		1	2010	24
No usual address (Qld)	25-34		1	2015	43
No usual address (Qld)	25-34		1	2016	11
No usual address (Qld)	25-34		1	2017	8
No usual address (Qld)	25-34		1	2018	26
No usual address (Qld)	25-34		1	2019	64
No usual address (Qld)	25-34		1	2020	46
No usual address (Qld)	25-34		1	2021	10
No usual address (Qld)	25-34	Speaks English not well or not at all	0	2005	3
No usual address (Qld)	25-34	Speaks English not well or not at all	0	2017	7
No usual address (Qld)	25-34	Speaks English not well or not at all	0	2018	7
No usual address (Qld)	25-34	Speaks English not well or not at all	0	2019	31
No usual address (Qld)	25-34	Speaks English not well or not at all	0	2020	4
No usual address (Qld)	25-34	Speaks English well or very well	0		19
No usual address (Qld)	25-34	Speaks English well or very well	0	2005	15
No usual address (Qld)	25-34	Speaks English well or very well	0	2010	19
No usual address (Qld)	25-34	Speaks English well or very well	0	2015	37
No usual address (Qld)	25-34	Speaks English well or very well	0	2016	16
No usual address (Qld)	25-34	Speaks English well or very well	0	2017	17
No usual address (Qld)	25-34	Speaks English well or very well	0	2018	67
No usual address (Qld)	25-34	Speaks English well or very well	0	2019	171
No usual address (Qld)	25-34	Speaks English well or very well	0	2020	83
No usual address (Qld)	25-34	Speaks English well or very well	0	2021	16
No usual address (Qld)	35-44				25
No usual address (Qld)	35-44		1		9
No usual address (Qld)	35-44		1	2005	90
No usual address (Qld)	35-44		1	2010	40
No usual address (Qld)	35-44		1	2015	22
No usual address (Qld)	35-44		1	2016	15
No usual address (Qld)	35-44		1	2019	6
No usual address (Qld)	35-44		1	2021	12
No usual address (Qld)	35-44	Speaks English not well or not at all	0		3
No usual address (Qld)	35-44	Speaks English not well or not at all	0	2010	5
No usual address (Qld)	35-44	Speaks English not well or not at all	0	2015	4
No usual address (Qld)	35-44	Speaks English well or very well	0		5
No usual address (Qld)	35-44	Speaks English well or very well	0	2005	23
No usual address (Qld)	35-44	Speaks English well or very well	0	2010	14
No usual address (Qld)	35-44	Speaks English well or very well	0	2015	28
No usual address (Qld)	35-44	Speaks English well or very well	0	2016	5
No usual address (Qld)	35-44	Speaks English well or very well	0	2017	4
No usual address (Qld)	35-44	Speaks English well or very well	0	2018	5
No usual address (Qld)	35-44	Speaks English well or very well	0	2019	4
No usual address (Qld)	35-44	Speaks English well or very well	0	2020	10
No usual address (Qld)	35-44	Speaks English well or very well	0	2021	10
No usual address (Qld)	45-54				21
No usual address (Qld)	45-54		1		7
No usual address (Qld)	45-54		1	2005	147
No usual address (Qld)	45-54		1	2010	34
No usual address (Qld)	45-54		1	2015	16
No usual address (Qld)	45-54		1	2017	4
No usual address (Qld)	45-54		1	2018	5
No usual address (Qld)	45-54		1	2019	10
No usual address (Qld)	45-54		1	2020	3
No usual address (Qld)	45-54		1	2021	4
No usual address (Qld)	45-54	Speaks English not well or not at all	0	2005	3
No usual address (Qld)	45-54	Speaks English not well or not at all	0	2020	3
No usual address (Qld)	45-54	Speaks English well or very well	0	2005	18
No usual address (Qld)	45-54	Speaks English well or very well	0	2010	9
No usual address (Qld)	45-54	Speaks English well or very well	0	2015	11
No usual address (Qld)	45-54	Speaks English well or very well	0	2016	3
No usual address (Qld)	45-54	Speaks English well or very well	0	2021	6
No usual address (Qld)	55-64				18
No usual address (Qld)	55-64		1		13
No usual address (Qld)	55-64		1	2005	331
No usual address (Qld)	55-64		1	2010	32
No usual address (Qld)	55-64		1	2015	9
No usual address (Qld)	55-64		1	2019	4
No usual address (Qld)	55-64		1	2020	4
No usual address (Qld)	55-64		1	2021	3
No usual address (Qld)	55-64	Speaks English not well or not at all	0	2005	5
No usual address (Qld)	55-64	Speaks English well or very well	0		4
No usual address (Qld)	55-64	Speaks English well or very well	0	2005	30
No usual address (Qld)	55-64	Speaks English well or very well	0	2010	6
No usual address (Qld)	55-64	Speaks English well or very well	0	2019	3
No usual address (Qld)	55-64	Speaks English well or very well	0	2020	4
No usual address (Qld)	65-74				14
No usual address (Qld)	65-74		1		14
No usual address (Qld)	65-74		1	2005	371
No usual address (Qld)	65-74		1	2010	12
No usual address (Qld)	65-74		1	2015	5
No usual address (Qld)	65-74		1	2021	4
No usual address (Qld)	65-74	Speaks English not well or not at all	0	2005	3
No usual address (Qld)	65-74	Speaks English not well or not at all	0	2010	3
No usual address (Qld)	65-74	Speaks English well or very well	0		3
No usual address (Qld)	65-74	Speaks English well or very well	0	2005	33
No usual address (Qld)	75-84		1	2005	105
No usual address (Qld)	75-84	Speaks English not well or not at all	0	2010	3
No usual address (Qld)	75-84	Speaks English well or very well	0	2005	9
No usual address (Qld)	85+		1	2005	8
Migratory - Offshore - Shipping (Qld)	35-44	Speaks English well or very well	0	2010	4
Migratory - Offshore - Shipping (Qld)	45-54	Speaks English well or very well	0	2015	4
Migratory - Offshore - Shipping (Qld)	45-54	Speaks English well or very well	0	2016	6
Greater Brisbane	0-14				60
Greater Brisbane	0-14			2015	27
Greater Brisbane	0-14			2016	5
Greater Brisbane	0-14			2017	3
Greater Brisbane	0-14			2018	4
Greater Brisbane	0-14			2019	16
Greater Brisbane	0-14			2020	8
Greater Brisbane	0-14			2021	6
Greater Brisbane	0-14		0		23
Greater Brisbane	0-14		0	2010	6
Greater Brisbane	0-14		0	2015	14
Greater Brisbane	0-14		0	2016	12
Greater Brisbane	0-14		0	2017	10
Greater Brisbane	0-14		0	2018	18
Greater Brisbane	0-14		0	2019	42
Greater Brisbane	0-14		0	2020	40
Greater Brisbane	0-14		0	2021	21
Greater Brisbane	0-14		1		852
Greater Brisbane	0-14		1	2010	2859
Greater Brisbane	0-14		1	2015	7455
Greater Brisbane	0-14		1	2016	1644
Greater Brisbane	0-14		1	2017	1494
Greater Brisbane	0-14		1	2018	1649
Greater Brisbane	0-14		1	2019	1725
Greater Brisbane	0-14		1	2020	954
Greater Brisbane	0-14		1	2021	532
Greater Brisbane	0-14	Speaks English not well or not at all	0		152
Greater Brisbane	0-14	Speaks English not well or not at all	0	2010	13
Greater Brisbane	0-14	Speaks English not well or not at all	0	2015	116
Greater Brisbane	0-14	Speaks English not well or not at all	0	2016	74
Greater Brisbane	0-14	Speaks English not well or not at all	0	2017	128
Greater Brisbane	0-14	Speaks English not well or not at all	0	2018	266
Greater Brisbane	0-14	Speaks English not well or not at all	0	2019	495
Greater Brisbane	0-14	Speaks English not well or not at all	0	2020	349
Greater Brisbane	0-14	Speaks English not well or not at all	0	2021	264
Greater Brisbane	0-14	Speaks English well or very well	0		661
Greater Brisbane	0-14	Speaks English well or very well	0	2010	1873
Greater Brisbane	0-14	Speaks English well or very well	0	2015	6860
Greater Brisbane	0-14	Speaks English well or very well	0	2016	2189
Greater Brisbane	0-14	Speaks English well or very well	0	2017	2116
Greater Brisbane	0-14	Speaks English well or very well	0	2018	2261
Greater Brisbane	0-14	Speaks English well or very well	0	2019	2440
Greater Brisbane	0-14	Speaks English well or very well	0	2020	1013
Greater Brisbane	0-14	Speaks English well or very well	0	2021	420
Greater Brisbane	15-24				205
Greater Brisbane	15-24			2005	13
Greater Brisbane	15-24			2010	18
Greater Brisbane	15-24			2015	21
Greater Brisbane	15-24			2016	3
Greater Brisbane	15-24			2017	8
Greater Brisbane	15-24			2018	8
Greater Brisbane	15-24			2019	17
Greater Brisbane	15-24			2020	6
Greater Brisbane	15-24			2021	3
Greater Brisbane	15-24		0		18
Greater Brisbane	15-24		0	2005	5
Greater Brisbane	15-24		0	2010	25
Greater Brisbane	15-24		0	2015	6
Greater Brisbane	15-24		0	2016	4
Greater Brisbane	15-24		0	2017	8
Greater Brisbane	15-24		0	2018	10
