GCCSA_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		Group household	3750
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	19081
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	8835
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		Other family	715
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	5696
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	12982
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	2490
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	30393
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	6992
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	661
Rest of Qld	Separate house		Couple family with children	239730
Rest of Qld	Separate house		Couple family with no children	227891
Rest of Qld	Separate house		Group household	24198
Rest of Qld	Separate house		Lone-person household	142594
Rest of Qld	Separate house		One parent family with children	86894
Rest of Qld	Separate house		Other family	7371
Greater Adelaide			Couple family with children	201
Greater Adelaide			Couple family with no children	245
Greater Adelaide			Group household	85
Greater Adelaide			Lone-person household	601
Greater Adelaide			One parent family with children	102
Greater Adelaide			Other family	12
Greater Adelaide	(Other)	Cabin household	Couple family with children	9
Greater Adelaide	(Other)	Cabin household	Couple family with no children	58
Greater Adelaide	(Other)	Cabin household	Group household	7
Greater Adelaide	(Other)	Cabin household	Lone-person household	252
Greater Adelaide	(Other)	Cabin household	One parent family with children	10
Greater Adelaide	(Other)	Caravan	Couple family with children	23
Greater Adelaide	(Other)	Caravan	Couple family with no children	146
Greater Adelaide	(Other)	Caravan	Group household	10
Greater Adelaide	(Other)	Caravan	Lone-person household	353
Greater Adelaide	(Other)	Caravan	One parent family with children	26
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	Couple family with children	77
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	98
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	Group household	45
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	Lone-person household	179
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	One parent family with children	46
Greater Adelaide	(Other)	House or flat attached to a shop, office, etc	Other family	5
Greater Adelaide	(Other)	Improvised home, tent sleepers	Lone-person household	5
Greater Adelaide	Flat/apartment		Couple family with children	61
Greater Adelaide	Flat/apartment		Couple family with no children	70
Greater Adelaide	Flat/apartment		Group household	15
Greater Adelaide	Flat/apartment		Lone-person household	104
Greater Adelaide	Flat/apartment		One parent family with children	27
Greater Adelaide	Flat/apartment		Other family	4
Greater Adelaide	Flat/apartment	1 or 2 storey block	Couple family with children	3141
Greater Adelaide	Flat/apartment	1 or 2 storey block	Couple family with no children	5879
Greater Adelaide	Flat/apartment	1 or 2 storey block	Group household	1561
Greater Adelaide	Flat/apartment	1 or 2 storey block	Lone-person household	16659
Greater Adelaide	Flat/apartment	1 or 2 storey block	One parent family with children	2189
Greater Adelaide	Flat/apartment	1 or 2 storey block	Other family	421
Greater Adelaide	Flat/apartment	3 storey block	Couple family with children	297
Greater Adelaide	Flat/apartment	3 storey block	Couple family with no children	1008
Greater Adelaide	Flat/apartment	3 storey block	Group household	339
Greater Adelaide	Flat/apartment	3 storey block	Lone-person household	2402
Greater Adelaide	Flat/apartment	3 storey block	One parent family with children	221
Greater Adelaide	Flat/apartment	3 storey block	Other family	78
Greater Adelaide	Flat/apartment	4-8 storey block	Couple family with children	395
Greater Adelaide	Flat/apartment	4-8 storey block	Couple family with no children	1600
Greater Adelaide	Flat/apartment	4-8 storey block	Group household	478
Greater Adelaide	Flat/apartment	4-8 storey block	Lone-person household	2770
Greater Adelaide	Flat/apartment	4-8 storey block	One parent family with children	263
Greater Adelaide	Flat/apartment	4-8 storey block	Other family	104
Greater Adelaide	Flat/apartment	9 or more storey block	Couple family with children	203
Greater Adelaide	Flat/apartment	9 or more storey block	Couple family with no children	1047
Greater Adelaide	Flat/apartment	9 or more storey block	Group household	500
Greater Adelaide	Flat/apartment	9 or more storey block	Lone-person household	1746
Greater Adelaide	Flat/apartment	9 or more storey block	One parent family with children	116
Greater Adelaide	Flat/apartment	9 or more storey block	Other family	69
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4640
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	6151
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		Group household	1793
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	7902
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	2843
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.		Other family	408
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	8308
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	13274
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	2628
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	31601
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	7112
Greater Adelaide	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	871
Greater Adelaide	Separate house		Couple family with children	141131
Greater Adelaide	Separate house		Couple family with no children	110491
Greater Adelaide	Separate house		Group household	12395
Greater Adelaide	Separate house		Lone-person household	84066
Greater Adelaide	Separate house		One parent family with children	49535
Greater Adelaide	Separate house		Other family	4518
Rest of SA			Couple family with children	85
Rest of SA			Couple family with no children	196
Rest of SA			Group household	22
Rest of SA			Lone-person household	300
Rest of SA			One parent family with children	31
Rest of SA	(Other)	Cabin household	Couple family with children	17
Rest of SA	(Other)	Cabin household	Couple family with no children	121
Rest of SA	(Other)	Cabin household	Group household	28
Rest of SA	(Other)	Cabin household	Lone-person household	221
Rest of SA	(Other)	Cabin household	One parent family with children	28
Rest of SA	(Other)	Cabin household	Other family	4
Rest of SA	(Other)	Caravan	Couple family with children	35
Rest of SA	(Other)	Caravan	Couple family with no children	180
Rest of SA	(Other)	Caravan	Group household	46
Rest of SA	(Other)	Caravan	Lone-person household	373
Rest of SA	(Other)	Caravan	One parent family with children	10
Rest of SA	(Other)	House or flat attached to a shop, office, etc	Couple family with children	63
Rest of SA	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	76
Rest of SA	(Other)	House or flat attached to a shop, office, etc	Group household	7
Rest of SA	(Other)	House or flat attached to a shop, office, etc	Lone-person household	100
Rest of SA	(Other)	House or flat attached to a shop, office, etc	One parent family with children	20
Rest of SA	(Other)	House or flat attached to a shop, office, etc	Other family	4
Rest of SA	(Other)	Improvised home, tent sleepers	Couple family with children	17
Rest of SA	(Other)	Improvised home, tent sleepers	Couple family with no children	15
Rest of SA	(Other)	Improvised home, tent sleepers	Lone-person household	29
Rest of SA	(Other)	Improvised home, tent sleepers	One parent family with children	6
Rest of SA	Flat/apartment		Couple family with children	14
Rest of SA	Flat/apartment		Couple family with no children	13
Rest of SA	Flat/apartment		Lone-person household	18
Rest of SA	Flat/apartment		One parent family with children	3
Rest of SA	Flat/apartment	1 or 2 storey block	Couple family with children	114
Rest of SA	Flat/apartment	1 or 2 storey block	Couple family with no children	346
Rest of SA	Flat/apartment	1 or 2 storey block	Group household	97
Rest of SA	Flat/apartment	1 or 2 storey block	Lone-person household	2287
Rest of SA	Flat/apartment	1 or 2 storey block	One parent family with children	180
Rest of SA	Flat/apartment	1 or 2 storey block	Other family	39
Rest of SA	Flat/apartment	3 storey block	Couple family with children	4
Rest of SA	Flat/apartment	3 storey block	Couple family with no children	25
Rest of SA	Flat/apartment	3 storey block	Group household	5
Rest of SA	Flat/apartment	3 storey block	Lone-person household	71
Rest of SA	Flat/apartment	3 storey block	One parent family with children	4
Rest of SA	Flat/apartment	4-8 storey block	Couple family with no children	13
Rest of SA	Flat/apartment	4-8 storey block	Lone-person household	16
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	72
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	191
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		Group household	19
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	188
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	45
Rest of SA	Semi-detached, row/terrace house, townhouse etc.		Other family	7
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	1072
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	2253
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	369
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	7136
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1616
Rest of SA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	126
Rest of SA	Separate house		Couple family with children	34340
Rest of SA	Separate house		Couple family with no children	47064
Rest of SA	Separate house		Group household	3077
Rest of SA	Separate house		Lone-person household	37876
Rest of SA	Separate house		One parent family with children	13361
Rest of SA	Separate house		Other family	1139
Greater Perth			Couple family with children	131
Greater Perth			Couple family with no children	179
Greater Perth			Group household	25
Greater Perth			Lone-person household	411
Greater Perth			One parent family with children	65
Greater Perth			Other family	10
Greater Perth	(Other)	Cabin household	Couple family with children	16
Greater Perth	(Other)	Cabin household	Couple family with no children	303
Greater Perth	(Other)	Cabin household	Group household	16
Greater Perth	(Other)	Cabin household	Lone-person household	685
Greater Perth	(Other)	Cabin household	One parent family with children	41
Greater Perth	(Other)	Cabin household	Other family	7
Greater Perth	(Other)	Caravan	Couple family with children	25
Greater Perth	(Other)	Caravan	Couple family with no children	226
Greater Perth	(Other)	Caravan	Group household	22
Greater Perth	(Other)	Caravan	Lone-person household	639
Greater Perth	(Other)	Caravan	One parent family with children	39
Greater Perth	(Other)	Caravan	Other family	4
Greater Perth	(Other)	House or flat attached to a shop, office, etc	Couple family with children	68
Greater Perth	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	130
Greater Perth	(Other)	House or flat attached to a shop, office, etc	Group household	39
Greater Perth	(Other)	House or flat attached to a shop, office, etc	Lone-person household	153
Greater Perth	(Other)	House or flat attached to a shop, office, etc	One parent family with children	28
Greater Perth	(Other)	House or flat attached to a shop, office, etc	Other family	8
Greater Perth	(Other)	Improvised home, tent sleepers	Couple family with children	21
Greater Perth	(Other)	Improvised home, tent sleepers	Couple family with no children	25
Greater Perth	(Other)	Improvised home, tent sleepers	Lone-person household	48
Greater Perth	(Other)	Improvised home, tent sleepers	One parent family with children	3
Greater Perth	Flat/apartment		Couple family with children	147
Greater Perth	Flat/apartment		Couple family with no children	203
Greater Perth	Flat/apartment		Group household	20
Greater Perth	Flat/apartment		Lone-person household	348
Greater Perth	Flat/apartment		One parent family with children	67
Greater Perth	Flat/apartment		Other family	11
Greater Perth	Flat/apartment	1 or 2 storey block	Couple family with children	1679
Greater Perth	Flat/apartment	1 or 2 storey block	Couple family with no children	3919
Greater Perth	Flat/apartment	1 or 2 storey block	Group household	1024
Greater Perth	Flat/apartment	1 or 2 storey block	Lone-person household	10785
Greater Perth	Flat/apartment	1 or 2 storey block	One parent family with children	1229
Greater Perth	Flat/apartment	1 or 2 storey block	Other family	262
Greater Perth	Flat/apartment	3 storey block	Couple family with children	1047
Greater Perth	Flat/apartment	3 storey block	Couple family with no children	3403
Greater Perth	Flat/apartment	3 storey block	Group household	969
Greater Perth	Flat/apartment	3 storey block	Lone-person household	7990
Greater Perth	Flat/apartment	3 storey block	One parent family with children	765
Greater Perth	Flat/apartment	3 storey block	Other family	201
Greater Perth	Flat/apartment	4-8 storey block	Couple family with children	1219
Greater Perth	Flat/apartment	4-8 storey block	Couple family with no children	4726
Greater Perth	Flat/apartment	4-8 storey block	Group household	1023
Greater Perth	Flat/apartment	4-8 storey block	Lone-person household	8219
Greater Perth	Flat/apartment	4-8 storey block	One parent family with children	749
Greater Perth	Flat/apartment	4-8 storey block	Other family	187
Greater Perth	Flat/apartment	9 or more storey block	Couple family with children	877
Greater Perth	Flat/apartment	9 or more storey block	Couple family with no children	3116
Greater Perth	Flat/apartment	9 or more storey block	Group household	692
Greater Perth	Flat/apartment	9 or more storey block	Lone-person household	4097
Greater Perth	Flat/apartment	9 or more storey block	One parent family with children	396
Greater Perth	Flat/apartment	9 or more storey block	Other family	133
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	5333
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	8462
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		Group household	2224
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	11481
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	2963
Greater Perth	Semi-detached, row/terrace house, townhouse etc.		Other family	520
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	11610
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	17417
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	3608
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	37386
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	8263
Greater Perth	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	1062
Greater Perth	Separate house		Couple family with children	236560
Greater Perth	Separate house		Couple family with no children	163242
Greater Perth	Separate house		Group household	17788
Greater Perth	Separate house		Lone-person household	111931
Greater Perth	Separate house		One parent family with children	69160
Greater Perth	Separate house		Other family	6774
Rest of WA			Couple family with children	194
Rest of WA			Couple family with no children	311
Rest of WA			Group household	41
Rest of WA			Lone-person household	589
Rest of WA			One parent family with children	62
Rest of WA			Other family	15
Rest of WA	(Other)	Cabin household	Couple family with children	30
Rest of WA	(Other)	Cabin household	Couple family with no children	220
Rest of WA	(Other)	Cabin household	Group household	29
Rest of WA	(Other)	Cabin household	Lone-person household	490
Rest of WA	(Other)	Cabin household	One parent family with children	19
Rest of WA	(Other)	Cabin household	Other family	6
Rest of WA	(Other)	Caravan	Couple family with children	118
Rest of WA	(Other)	Caravan	Couple family with no children	639
Rest of WA	(Other)	Caravan	Group household	58
Rest of WA	(Other)	Caravan	Lone-person household	1072
Rest of WA	(Other)	Caravan	One parent family with children	73
Rest of WA	(Other)	Caravan	Other family	17
Rest of WA	(Other)	House or flat attached to a shop, office, etc	Couple family with children	69
Rest of WA	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	101
Rest of WA	(Other)	House or flat attached to a shop, office, etc	Group household	15
Rest of WA	(Other)	House or flat attached to a shop, office, etc	Lone-person household	103
Rest of WA	(Other)	House or flat attached to a shop, office, etc	One parent family with children	25
Rest of WA	(Other)	House or flat attached to a shop, office, etc	Other family	3
Rest of WA	(Other)	Improvised home, tent sleepers	Couple family with children	30
Rest of WA	(Other)	Improvised home, tent sleepers	Couple family with no children	61
Rest of WA	(Other)	Improvised home, tent sleepers	Group household	6
Rest of WA	(Other)	Improvised home, tent sleepers	Lone-person household	122
Rest of WA	(Other)	Improvised home, tent sleepers	One parent family with children	8
Rest of WA	(Other)	Improvised home, tent sleepers	Other family	6
Rest of WA	Flat/apartment		Couple family with children	13
Rest of WA	Flat/apartment		Couple family with no children	25
Rest of WA	Flat/apartment		Group household	8
Rest of WA	Flat/apartment		Lone-person household	42
Rest of WA	Flat/apartment		One parent family with children	10
Rest of WA	Flat/apartment	1 or 2 storey block	Couple family with children	171
Rest of WA	Flat/apartment	1 or 2 storey block	Couple family with no children	394
Rest of WA	Flat/apartment	1 or 2 storey block	Group household	84
Rest of WA	Flat/apartment	1 or 2 storey block	Lone-person household	1337
Rest of WA	Flat/apartment	1 or 2 storey block	One parent family with children	144
Rest of WA	Flat/apartment	1 or 2 storey block	Other family	23
Rest of WA	Flat/apartment	3 storey block	Couple family with children	22
Rest of WA	Flat/apartment	3 storey block	Couple family with no children	72
Rest of WA	Flat/apartment	3 storey block	Group household	14
Rest of WA	Flat/apartment	3 storey block	Lone-person household	175
Rest of WA	Flat/apartment	3 storey block	One parent family with children	20
Rest of WA	Flat/apartment	3 storey block	Other family	3
Rest of WA	Flat/apartment	4-8 storey block	Couple family with children	18
Rest of WA	Flat/apartment	4-8 storey block	Couple family with no children	48
Rest of WA	Flat/apartment	4-8 storey block	Group household	4
Rest of WA	Flat/apartment	4-8 storey block	Lone-person household	71
Rest of WA	Flat/apartment	4-8 storey block	One parent family with children	4
Rest of WA	Flat/apartment	9 or more storey block	Couple family with children	9
Rest of WA	Flat/apartment	9 or more storey block	Couple family with no children	49
Rest of WA	Flat/apartment	9 or more storey block	Group household	6
Rest of WA	Flat/apartment	9 or more storey block	Lone-person household	98
Rest of WA	Flat/apartment	9 or more storey block	One parent family with children	5
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	383
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	657
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		Group household	128
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	925
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	183
Rest of WA	Semi-detached, row/terrace house, townhouse etc.		Other family	14
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	1266
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	2420
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	420
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	7376
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1213
Rest of WA	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	146
Rest of WA	Separate house		Couple family with children	50094
Rest of WA	Separate house		Couple family with no children	51623
Rest of WA	Separate house		Group household	4331
Rest of WA	Separate house		Lone-person household	38614
Rest of WA	Separate house		One parent family with children	17391
Rest of WA	Separate house		Other family	1531
Greater Hobart			Couple family with children	33
Greater Hobart			Couple family with no children	47
Greater Hobart			Group household	6
Greater Hobart			Lone-person household	97
Greater Hobart			One parent family with children	15
Greater Hobart	(Other)	Cabin household	Couple family with children	10
Greater Hobart	(Other)	Cabin household	Couple family with no children	31
Greater Hobart	(Other)	Cabin household	Group household	3
Greater Hobart	(Other)	Cabin household	Lone-person household	56
Greater Hobart	(Other)	Cabin household	One parent family with children	6
Greater Hobart	(Other)	Caravan	Couple family with children	9
Greater Hobart	(Other)	Caravan	Couple family with no children	27
Greater Hobart	(Other)	Caravan	Lone-person household	55
Greater Hobart	(Other)	Caravan	One parent family with children	4
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	Couple family with children	34
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	52
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	Group household	21
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	Lone-person household	62
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	One parent family with children	15
Greater Hobart	(Other)	House or flat attached to a shop, office, etc	Other family	7
Greater Hobart	(Other)	Improvised home, tent sleepers	Couple family with no children	5
Greater Hobart	(Other)	Improvised home, tent sleepers	Lone-person household	3
Greater Hobart	Flat/apartment		Couple family with children	22
Greater Hobart	Flat/apartment		Couple family with no children	44
Greater Hobart	Flat/apartment		Group household	9
Greater Hobart	Flat/apartment		Lone-person household	59
Greater Hobart	Flat/apartment		One parent family with children	13
Greater Hobart	Flat/apartment		Other family	4
Greater Hobart	Flat/apartment	1 or 2 storey block	Couple family with children	562
Greater Hobart	Flat/apartment	1 or 2 storey block	Couple family with no children	1309
Greater Hobart	Flat/apartment	1 or 2 storey block	Group household	401
Greater Hobart	Flat/apartment	1 or 2 storey block	Lone-person household	3074
Greater Hobart	Flat/apartment	1 or 2 storey block	One parent family with children	553
Greater Hobart	Flat/apartment	1 or 2 storey block	Other family	66
Greater Hobart	Flat/apartment	3 storey block	Couple family with children	62
Greater Hobart	Flat/apartment	3 storey block	Couple family with no children	252
Greater Hobart	Flat/apartment	3 storey block	Group household	91
Greater Hobart	Flat/apartment	3 storey block	Lone-person household	569
Greater Hobart	Flat/apartment	3 storey block	One parent family with children	39
Greater Hobart	Flat/apartment	3 storey block	Other family	15
Greater Hobart	Flat/apartment	4-8 storey block	Couple family with children	35
Greater Hobart	Flat/apartment	4-8 storey block	Couple family with no children	162
Greater Hobart	Flat/apartment	4-8 storey block	Group household	63
Greater Hobart	Flat/apartment	4-8 storey block	Lone-person household	276
Greater Hobart	Flat/apartment	4-8 storey block	One parent family with children	43
Greater Hobart	Flat/apartment	4-8 storey block	Other family	11
Greater Hobart	Flat/apartment	9 or more storey block	Couple family with no children	14
Greater Hobart	Flat/apartment	9 or more storey block	Lone-person household	16
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	316
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	715
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		Group household	233
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1004
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	228
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.		Other family	37
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	260
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	571
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	181
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1898
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	303
Greater Hobart	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	37
Greater Hobart	Separate house		Couple family with children	24153
Greater Hobart	Separate house		Couple family with no children	23280
Greater Hobart	Separate house		Group household	2995
Greater Hobart	Separate house		Lone-person household	19082
Greater Hobart	Separate house		One parent family with children	10451
Greater Hobart	Separate house		Other family	881
Rest of Tas.			Couple family with children	50
Rest of Tas.			Couple family with no children	73
Rest of Tas.			Group household	8
Rest of Tas.			Lone-person household	140
Rest of Tas.			One parent family with children	10
Rest of Tas.			Other family	3
Rest of Tas.	(Other)	Cabin household	Couple family with children	14
Rest of Tas.	(Other)	Cabin household	Couple family with no children	76
Rest of Tas.	(Other)	Cabin household	Group household	12
Rest of Tas.	(Other)	Cabin household	Lone-person household	125
Rest of Tas.	(Other)	Cabin household	One parent family with children	19
Rest of Tas.	(Other)	Cabin household	Other family	3
Rest of Tas.	(Other)	Caravan	Couple family with children	16
Rest of Tas.	(Other)	Caravan	Couple family with no children	101
Rest of Tas.	(Other)	Caravan	Group household	10
Rest of Tas.	(Other)	Caravan	Lone-person household	292
Rest of Tas.	(Other)	Caravan	One parent family with children	23
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	Couple family with children	34
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	69
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	Group household	23
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	Lone-person household	105
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	One parent family with children	24
Rest of Tas.	(Other)	House or flat attached to a shop, office, etc	Other family	8
Rest of Tas.	(Other)	Improvised home, tent sleepers	Couple family with children	13
Rest of Tas.	(Other)	Improvised home, tent sleepers	Couple family with no children	10
Rest of Tas.	(Other)	Improvised home, tent sleepers	Group household	4
Rest of Tas.	(Other)	Improvised home, tent sleepers	Lone-person household	24
Rest of Tas.	(Other)	Improvised home, tent sleepers	One parent family with children	4
Rest of Tas.	Flat/apartment		Couple family with children	16
Rest of Tas.	Flat/apartment		Couple family with no children	23
Rest of Tas.	Flat/apartment		Group household	6
Rest of Tas.	Flat/apartment		Lone-person household	73
Rest of Tas.	Flat/apartment		One parent family with children	18
Rest of Tas.	Flat/apartment	1 or 2 storey block	Couple family with children	201
Rest of Tas.	Flat/apartment	1 or 2 storey block	Couple family with no children	617
Rest of Tas.	Flat/apartment	1 or 2 storey block	Group household	152
Rest of Tas.	Flat/apartment	1 or 2 storey block	Lone-person household	2142
Rest of Tas.	Flat/apartment	1 or 2 storey block	One parent family with children	297
Rest of Tas.	Flat/apartment	1 or 2 storey block	Other family	25
Rest of Tas.	Flat/apartment	3 storey block	Couple family with children	15
Rest of Tas.	Flat/apartment	3 storey block	Couple family with no children	19
Rest of Tas.	Flat/apartment	3 storey block	Group household	6
Rest of Tas.	Flat/apartment	3 storey block	Lone-person household	106
Rest of Tas.	Flat/apartment	3 storey block	One parent family with children	10
Rest of Tas.	Flat/apartment	4-8 storey block	Couple family with no children	20
Rest of Tas.	Flat/apartment	4-8 storey block	Group household	4
Rest of Tas.	Flat/apartment	4-8 storey block	Lone-person household	51
Rest of Tas.	Flat/apartment	4-8 storey block	One parent family with children	3
Rest of Tas.	Flat/apartment	9 or more storey block	Couple family with no children	6
Rest of Tas.	Flat/apartment	9 or more storey block	Lone-person household	3
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	210
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	363
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		Group household	86
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	565
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	154
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.		Other family	18
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	336
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	1010
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	188
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	4037
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	596
Rest of Tas.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	54
Rest of Tas.	Separate house		Couple family with children	28638
Rest of Tas.	Separate house		Couple family with no children	36143
Rest of Tas.	Separate house		Group household	2922
Rest of Tas.	Separate house		Lone-person household	29439
Rest of Tas.	Separate house		One parent family with children	12610
Rest of Tas.	Separate house		Other family	966
Greater Darwin			Couple family with children	13
Greater Darwin			Couple family with no children	30
Greater Darwin			Group household	3
Greater Darwin			Lone-person household	87
Greater Darwin			One parent family with children	14
Greater Darwin	(Other)	Cabin household	Couple family with children	6
Greater Darwin	(Other)	Cabin household	Couple family with no children	24
Greater Darwin	(Other)	Cabin household	Lone-person household	43
Greater Darwin	(Other)	Caravan	Couple family with children	28
Greater Darwin	(Other)	Caravan	Couple family with no children	110
Greater Darwin	(Other)	Caravan	Group household	7
Greater Darwin	(Other)	Caravan	Lone-person household	142
Greater Darwin	(Other)	Caravan	One parent family with children	7
Greater Darwin	(Other)	House or flat attached to a shop, office, etc	Couple family with children	4
Greater Darwin	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	10
Greater Darwin	(Other)	House or flat attached to a shop, office, etc	Group household	4
Greater Darwin	(Other)	House or flat attached to a shop, office, etc	Lone-person household	3
Greater Darwin	(Other)	Improvised home, tent sleepers	Couple family with children	3
Greater Darwin	(Other)	Improvised home, tent sleepers	Couple family with no children	8
Greater Darwin	(Other)	Improvised home, tent sleepers	Group household	3
Greater Darwin	(Other)	Improvised home, tent sleepers	Lone-person household	19
Greater Darwin	Flat/apartment		Couple family with children	3
