STE_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Northern Territory	Flat/apartment	1 or 2 storey block	Couple family with children	777
Northern Territory	Flat/apartment	1 or 2 storey block	Couple family with no children	1081
Northern Territory	Flat/apartment	1 or 2 storey block	Group household	300
Northern Territory	Flat/apartment	1 or 2 storey block	Lone-person household	2084
Northern Territory	Flat/apartment	1 or 2 storey block	One parent family with children	469
Northern Territory	Flat/apartment	1 or 2 storey block	Other family	78
Northern Territory	Flat/apartment	3 storey block	Couple family with children	409
Northern Territory	Flat/apartment	3 storey block	Couple family with no children	469
Northern Territory	Flat/apartment	3 storey block	Group household	160
Northern Territory	Flat/apartment	3 storey block	Lone-person household	743
Northern Territory	Flat/apartment	3 storey block	One parent family with children	138
Northern Territory	Flat/apartment	3 storey block	Other family	29
Northern Territory	Flat/apartment	4-8 storey block	Couple family with children	589
Northern Territory	Flat/apartment	4-8 storey block	Couple family with no children	895
Northern Territory	Flat/apartment	4-8 storey block	Group household	351
Northern Territory	Flat/apartment	4-8 storey block	Lone-person household	1118
Northern Territory	Flat/apartment	4-8 storey block	One parent family with children	278
Northern Territory	Flat/apartment	4-8 storey block	Other family	44
Northern Territory	Flat/apartment	9 or more storey block	Couple family with children	352
Northern Territory	Flat/apartment	9 or more storey block	Couple family with no children	881
Northern Territory	Flat/apartment	9 or more storey block	Group household	271
Northern Territory	Flat/apartment	9 or more storey block	Lone-person household	948
Northern Territory	Flat/apartment	9 or more storey block	One parent family with children	106
Northern Territory	Flat/apartment	9 or more storey block	Other family	24
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	604
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	790
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Group household	252
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1091
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	411
Northern Territory	Semi-detached, row/terrace house, townhouse etc.		Other family	48
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	1083
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	1160
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	241
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	2470
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	700
Northern Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	109
Northern Territory	Separate house		Couple family with children	19094
Northern Territory	Separate house		Couple family with no children	11466
Northern Territory	Separate house		Group household	1963
Northern Territory	Separate house		Lone-person household	7381
Northern Territory	Separate house		One parent family with children	6556
Northern Territory	Separate house		Other family	757
Australian Capital Territory			Couple family with children	38
Australian Capital Territory			Couple family with no children	47
Australian Capital Territory			Group household	15
Australian Capital Territory			Lone-person household	90
Australian Capital Territory			One parent family with children	18
Australian Capital Territory			Other family	3
Australian Capital Territory	(Other)	Cabin household	Couple family with children	8
Australian Capital Territory	(Other)	Cabin household	Couple family with no children	17
Australian Capital Territory	(Other)	Cabin household	Group household	6
Australian Capital Territory	(Other)	Cabin household	Lone-person household	63
Australian Capital Territory	(Other)	Cabin household	One parent family with children	13
Australian Capital Territory	(Other)	Cabin household	Other family	5
Australian Capital Territory	(Other)	Caravan	Couple family with children	3
Australian Capital Territory	(Other)	Caravan	Couple family with no children	5
Australian Capital Territory	(Other)	Caravan	Lone-person household	29
Australian Capital Territory	(Other)	Caravan	One parent family with children	5
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with children	5
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	3
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Group household	4
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Lone-person household	3
Australian Capital Territory	Flat/apartment		Couple family with children	62
Australian Capital Territory	Flat/apartment		Couple family with no children	115
Australian Capital Territory	Flat/apartment		Group household	26
Australian Capital Territory	Flat/apartment		Lone-person household	198
Australian Capital Territory	Flat/apartment		One parent family with children	28
Australian Capital Territory	Flat/apartment		Other family	3
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with children	666
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with no children	1330
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Group household	409
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Lone-person household	2745
Australian Capital Territory	Flat/apartment	1 or 2 storey block	One parent family with children	432
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Other family	46
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with children	882
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with no children	2147
Australian Capital Territory	Flat/apartment	3 storey block	Group household	697
Australian Capital Territory	Flat/apartment	3 storey block	Lone-person household	3476
Australian Capital Territory	Flat/apartment	3 storey block	One parent family with children	428
Australian Capital Territory	Flat/apartment	3 storey block	Other family	112
Australian Capital Territory	Flat/apartment	4-8 storey block	Couple family with children	1181
Australian Capital Territory	Flat/apartment	4-8 storey block	Couple family with no children	4037
Australian Capital Territory	Flat/apartment	4-8 storey block	Group household	904
Australian Capital Territory	Flat/apartment	4-8 storey block	Lone-person household	5810
Australian Capital Territory	Flat/apartment	4-8 storey block	One parent family with children	569
Australian Capital Territory	Flat/apartment	4-8 storey block	Other family	143
Australian Capital Territory	Flat/apartment	9 or more storey block	Couple family with children	538
Australian Capital Territory	Flat/apartment	9 or more storey block	Couple family with no children	2047
Australian Capital Territory	Flat/apartment	9 or more storey block	Group household	578
Australian Capital Territory	Flat/apartment	9 or more storey block	Lone-person household	2697
Australian Capital Territory	Flat/apartment	9 or more storey block	One parent family with children	258
Australian Capital Territory	Flat/apartment	9 or more storey block	Other family	88
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	3449
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	4074
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Group household	1301
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	4431
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1672
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Other family	240
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2265
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	3065
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	546
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	6103
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1618
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	148
Australian Capital Territory	Separate house		Couple family with children	44820
Australian Capital Territory	Separate house		Couple family with no children	28306
Australian Capital Territory	Separate house		Group household	3365
Australian Capital Territory	Separate house		Lone-person household	17682
Australian Capital Territory	Separate house		One parent family with children	11282
Australian Capital Territory	Separate house		Other family	983
Other Territories			Couple family with no children	7
Other Territories			Lone-person household	13
Other Territories	Flat/apartment		Couple family with no children	5
Other Territories	Flat/apartment		Lone-person household	7
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with children	10
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with no children	22
Other Territories	Flat/apartment	1 or 2 storey block	Group household	6
Other Territories	Flat/apartment	1 or 2 storey block	Lone-person household	44
Other Territories	Flat/apartment	1 or 2 storey block	One parent family with children	3
Other Territories	Flat/apartment	3 storey block	Couple family with children	22
Other Territories	Flat/apartment	3 storey block	Couple family with no children	10
Other Territories	Flat/apartment	3 storey block	Lone-person household	8
Other Territories	Flat/apartment	3 storey block	One parent family with children	9
Other Territories	Flat/apartment	3 storey block	Other family	3
Other Territories	Flat/apartment	4-8 storey block	Couple family with children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	31
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	23
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	33
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	6
Other Territories	Separate house		Couple family with children	336
Other Territories	Separate house		Couple family with no children	386
Other Territories	Separate house		Group household	21
Other Territories	Separate house		Lone-person household	384
Other Territories	Separate house		One parent family with children	116
Other Territories	Separate house		Other family	19
