STE_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Victoria	55-64		0	2020	13
Victoria	55-64		1		2144
Victoria	55-64		1	2005	92915
Victoria	55-64		1	2010	5833
Victoria	55-64		1	2015	2298
Victoria	55-64		1	2016	301
Victoria	55-64		1	2017	309
Victoria	55-64		1	2018	291
Victoria	55-64		1	2019	326
Victoria	55-64		1	2020	210
Victoria	55-64		1	2021	96
Victoria	55-64	Speaks English not well or not at all	0		1271
Victoria	55-64	Speaks English not well or not at all	0	2005	22726
Victoria	55-64	Speaks English not well or not at all	0	2010	5051
Victoria	55-64	Speaks English not well or not at all	0	2015	5732
Victoria	55-64	Speaks English not well or not at all	0	2016	1396
Victoria	55-64	Speaks English not well or not at all	0	2017	1256
Victoria	55-64	Speaks English not well or not at all	0	2018	1285
Victoria	55-64	Speaks English not well or not at all	0	2019	3091
Victoria	55-64	Speaks English not well or not at all	0	2020	1452
Victoria	55-64	Speaks English not well or not at all	0	2021	188
Victoria	55-64	Speaks English well or very well	0		1564
Victoria	55-64	Speaks English well or very well	0	2005	85252
Victoria	55-64	Speaks English well or very well	0	2010	8364
Victoria	55-64	Speaks English well or very well	0	2015	3815
Victoria	55-64	Speaks English well or very well	0	2016	616
Victoria	55-64	Speaks English well or very well	0	2017	534
Victoria	55-64	Speaks English well or very well	0	2018	484
Victoria	55-64	Speaks English well or very well	0	2019	754
Victoria	55-64	Speaks English well or very well	0	2020	572
Victoria	55-64	Speaks English well or very well	0	2021	114
Victoria	65-74				392
Victoria	65-74			2005	195
Victoria	65-74			2010	7
Victoria	65-74			2015	6
Victoria	65-74			2019	4
Victoria	65-74			2020	3
Victoria	65-74		0		92
Victoria	65-74		0	2005	325
Victoria	65-74		0	2010	7
Victoria	65-74		0	2015	26
Victoria	65-74		0	2017	4
Victoria	65-74		0	2018	7
Victoria	65-74		0	2019	15
Victoria	65-74		0	2020	7
Victoria	65-74		1		2419
Victoria	65-74		1	2005	96082
Victoria	65-74		1	2010	1492
Victoria	65-74		1	2015	939
Victoria	65-74		1	2016	162
Victoria	65-74		1	2017	148
Victoria	65-74		1	2018	134
Victoria	65-74		1	2019	220
Victoria	65-74		1	2020	122
Victoria	65-74		1	2021	59
Victoria	65-74	Speaks English not well or not at all	0		1069
Victoria	65-74	Speaks English not well or not at all	0	2005	25582
Victoria	65-74	Speaks English not well or not at all	0	2010	3581
Victoria	65-74	Speaks English not well or not at all	0	2015	4736
Victoria	65-74	Speaks English not well or not at all	0	2016	1135
Victoria	65-74	Speaks English not well or not at all	0	2017	927
Victoria	65-74	Speaks English not well or not at all	0	2018	950
Victoria	65-74	Speaks English not well or not at all	0	2019	2669
Victoria	65-74	Speaks English not well or not at all	0	2020	1197
Victoria	65-74	Speaks English not well or not at all	0	2021	120
Victoria	65-74	Speaks English well or very well	0		1553
Victoria	65-74	Speaks English well or very well	0	2005	72687
Victoria	65-74	Speaks English well or very well	0	2010	1763
Victoria	65-74	Speaks English well or very well	0	2015	1435
Victoria	65-74	Speaks English well or very well	0	2016	326
Victoria	65-74	Speaks English well or very well	0	2017	257
Victoria	65-74	Speaks English well or very well	0	2018	274
Victoria	65-74	Speaks English well or very well	0	2019	778
Victoria	65-74	Speaks English well or very well	0	2020	526
Victoria	65-74	Speaks English well or very well	0	2021	79
Victoria	75-84				653
Victoria	75-84			2005	242
Victoria	75-84			2010	6
Victoria	75-84		0		120
Victoria	75-84		0	2005	300
Victoria	75-84		0	2010	4
Victoria	75-84		0	2015	10
Victoria	75-84		0	2019	3
Victoria	75-84		1		2135
Victoria	75-84		1	2005	56439
Victoria	75-84		1	2010	728
Victoria	75-84		1	2015	417
Victoria	75-84		1	2016	71
Victoria	75-84		1	2017	60
Victoria	75-84		1	2018	57
Victoria	75-84		1	2019	108
Victoria	75-84		1	2020	66
Victoria	75-84		1	2021	23
Victoria	75-84	Speaks English not well or not at all	0		1035
Victoria	75-84	Speaks English not well or not at all	0	2005	25741
Victoria	75-84	Speaks English not well or not at all	0	2010	1730
Victoria	75-84	Speaks English not well or not at all	0	2015	1343
Victoria	75-84	Speaks English not well or not at all	0	2016	309
Victoria	75-84	Speaks English not well or not at all	0	2017	249
Victoria	75-84	Speaks English not well or not at all	0	2018	181
Victoria	75-84	Speaks English not well or not at all	0	2019	639
Victoria	75-84	Speaks English not well or not at all	0	2020	271
Victoria	75-84	Speaks English not well or not at all	0	2021	25
Victoria	75-84	Speaks English well or very well	0		1253
Victoria	75-84	Speaks English well or very well	0	2005	43811
Victoria	75-84	Speaks English well or very well	0	2010	597
Victoria	75-84	Speaks English well or very well	0	2015	446
Victoria	75-84	Speaks English well or very well	0	2016	78
Victoria	75-84	Speaks English well or very well	0	2017	56
Victoria	75-84	Speaks English well or very well	0	2018	67
Victoria	75-84	Speaks English well or very well	0	2019	189
Victoria	75-84	Speaks English well or very well	0	2020	101
Victoria	75-84	Speaks English well or very well	0	2021	20
Victoria	85+				827
Victoria	85+			2005	193
Victoria	85+			2015	6
Victoria	85+		0		164
Victoria	85+		0	2005	196
Victoria	85+		0	2015	3
Victoria	85+		1		1549
Victoria	85+		1	2005	18091
Victoria	85+		1	2010	196
Victoria	85+		1	2015	86
Victoria	85+		1	2016	16
Victoria	85+		1	2017	23
Victoria	85+		1	2018	19
Victoria	85+		1	2019	37
Victoria	85+		1	2020	6
Victoria	85+	Speaks English not well or not at all	0		1199
Victoria	85+	Speaks English not well or not at all	0	2005	15543
Victoria	85+	Speaks English not well or not at all	0	2010	440
Victoria	85+	Speaks English not well or not at all	0	2015	293
Victoria	85+	Speaks English not well or not at all	0	2016	67
Victoria	85+	Speaks English not well or not at all	0	2017	56
Victoria	85+	Speaks English not well or not at all	0	2018	34
Victoria	85+	Speaks English not well or not at all	0	2019	87
Victoria	85+	Speaks English not well or not at all	0	2020	30
Victoria	85+	Speaks English not well or not at all	0	2021	6
Victoria	85+	Speaks English well or very well	0		1007
Victoria	85+	Speaks English well or very well	0	2005	15764
Victoria	85+	Speaks English well or very well	0	2010	126
Victoria	85+	Speaks English well or very well	0	2015	68
Victoria	85+	Speaks English well or very well	0	2016	13
Victoria	85+	Speaks English well or very well	0	2017	21
Victoria	85+	Speaks English well or very well	0	2018	11
Victoria	85+	Speaks English well or very well	0	2019	31
Victoria	85+	Speaks English well or very well	0	2020	12
Victoria	85+	Speaks English well or very well	0	2021	3
Queensland	0-14				116
Queensland	0-14			2010	9
Queensland	0-14			2015	30
Queensland	0-14			2016	4
Queensland	0-14			2017	7
Queensland	0-14			2018	16
Queensland	0-14			2019	16
Queensland	0-14			2020	15
Queensland	0-14			2021	16
Queensland	0-14		0		42
Queensland	0-14		0	2010	4
Queensland	0-14		0	2015	21
Queensland	0-14		0	2016	12
Queensland	0-14		0	2017	11
Queensland	0-14		0	2018	26
Queensland	0-14		0	2019	62
Queensland	0-14		0	2020	62
Queensland	0-14		0	2021	38
Queensland	0-14		1		1496
Queensland	0-14		1	2010	4971
Queensland	0-14		1	2015	12814
Queensland	0-14		1	2016	2880
Queensland	0-14		1	2017	2628
Queensland	0-14		1	2018	2852
Queensland	0-14		1	2019	3047
Queensland	0-14		1	2020	1772
Queensland	0-14		1	2021	973
Queensland	0-14	Speaks English not well or not at all	0		272
Queensland	0-14	Speaks English not well or not at all	0	2010	21
Queensland	0-14	Speaks English not well or not at all	0	2015	156
Queensland	0-14	Speaks English not well or not at all	0	2016	98
Queensland	0-14	Speaks English not well or not at all	0	2017	170
Queensland	0-14	Speaks English not well or not at all	0	2018	419
Queensland	0-14	Speaks English not well or not at all	0	2019	872
Queensland	0-14	Speaks English not well or not at all	0	2020	542
Queensland	0-14	Speaks English not well or not at all	0	2021	386
Queensland	0-14	Speaks English well or very well	0		1029
Queensland	0-14	Speaks English well or very well	0	2010	2633
Queensland	0-14	Speaks English well or very well	0	2015	9759
Queensland	0-14	Speaks English well or very well	0	2016	3099
Queensland	0-14	Speaks English well or very well	0	2017	3198
Queensland	0-14	Speaks English well or very well	0	2018	3520
Queensland	0-14	Speaks English well or very well	0	2019	4044
Queensland	0-14	Speaks English well or very well	0	2020	1631
Queensland	0-14	Speaks English well or very well	0	2021	692
Queensland	15-24				299
Queensland	15-24			2005	19
Queensland	15-24			2010	31
Queensland	15-24			2015	38
Queensland	15-24			2016	3
Queensland	15-24			2017	8
Queensland	15-24			2018	15
Queensland	15-24			2019	26
Queensland	15-24			2020	16
Queensland	15-24			2021	4
Queensland	15-24		0		30
Queensland	15-24		0	2005	7
Queensland	15-24		0	2010	30
Queensland	15-24		0	2015	15
Queensland	15-24		0	2016	9
Queensland	15-24		0	2017	8
Queensland	15-24		0	2018	15
Queensland	15-24		0	2019	13
Queensland	15-24		0	2020	11
Queensland	15-24		0	2021	4
Queensland	15-24		1		1386
Queensland	15-24		1	2005	10722
Queensland	15-24		1	2010	22032
Queensland	15-24		1	2015	9892
Queensland	15-24		1	2016	1329
Queensland	15-24		1	2017	1417
Queensland	15-24		1	2018	1578
Queensland	15-24		1	2019	1963
Queensland	15-24		1	2020	1174
Queensland	15-24		1	2021	563
Queensland	15-24	Speaks English not well or not at all	0		114
Queensland	15-24	Speaks English not well or not at all	0	2005	112
Queensland	15-24	Speaks English not well or not at all	0	2010	107
Queensland	15-24	Speaks English not well or not at all	0	2015	227
Queensland	15-24	Speaks English not well or not at all	0	2016	166
Queensland	15-24	Speaks English not well or not at all	0	2017	224
Queensland	15-24	Speaks English not well or not at all	0	2018	391
Queensland	15-24	Speaks English not well or not at all	0	2019	859
Queensland	15-24	Speaks English not well or not at all	0	2020	285
Queensland	15-24	Speaks English not well or not at all	0	2021	99
Queensland	15-24	Speaks English well or very well	0		902
Queensland	15-24	Speaks English well or very well	0	2005	3680
Queensland	15-24	Speaks English well or very well	0	2010	12757
Queensland	15-24	Speaks English well or very well	0	2015	11449
Queensland	15-24	Speaks English well or very well	0	2016	3223
Queensland	15-24	Speaks English well or very well	0	2017	4010
Queensland	15-24	Speaks English well or very well	0	2018	5407
Queensland	15-24	Speaks English well or very well	0	2019	7226
Queensland	15-24	Speaks English well or very well	0	2020	2968
Queensland	15-24	Speaks English well or very well	0	2021	447
Queensland	25-34				652
Queensland	25-34			2005	30
Queensland	25-34			2010	34
Queensland	25-34			2015	52
Queensland	25-34			2016	15
Queensland	25-34			2017	11
Queensland	25-34			2018	25
Queensland	25-34			2019	48
Queensland	25-34			2020	8
Queensland	25-34			2021	10
Queensland	25-34		0		51
Queensland	25-34		0	2005	17
Queensland	25-34		0	2010	28
Queensland	25-34		0	2015	45
Queensland	25-34		0	2016	16
Queensland	25-34		0	2017	9
Queensland	25-34		0	2018	22
Queensland	25-34		0	2019	38
Queensland	25-34		0	2020	18
Queensland	25-34		0	2021	13
Queensland	25-34		1		1736
Queensland	25-34		1	2005	25909
Queensland	25-34		1	2010	14780
Queensland	25-34		1	2015	15665
Queensland	25-34		1	2016	3318
Queensland	25-34		1	2017	3307
Queensland	25-34		1	2018	3661
Queensland	25-34		1	2019	4100
Queensland	25-34		1	2020	1987
Queensland	25-34		1	2021	664
Queensland	25-34	Speaks English not well or not at all	0		289
Queensland	25-34	Speaks English not well or not at all	0	2005	370
Queensland	25-34	Speaks English not well or not at all	0	2010	747
Queensland	25-34	Speaks English not well or not at all	0	2015	2143
Queensland	25-34	Speaks English not well or not at all	0	2016	767
Queensland	25-34	Speaks English not well or not at all	0	2017	863
Queensland	25-34	Speaks English not well or not at all	0	2018	1343
Queensland	25-34	Speaks English not well or not at all	0	2019	2174
Queensland	25-34	Speaks English not well or not at all	0	2020	661
Queensland	25-34	Speaks English not well or not at all	0	2021	176
Queensland	25-34	Speaks English well or very well	0		1640
Queensland	25-34	Speaks English well or very well	0	2005	10980
Queensland	25-34	Speaks English well or very well	0	2010	18501
Queensland	25-34	Speaks English well or very well	0	2015	27979
Queensland	25-34	Speaks English well or very well	0	2016	8197
Queensland	25-34	Speaks English well or very well	0	2017	8936
Queensland	25-34	Speaks English well or very well	0	2018	10861
Queensland	25-34	Speaks English well or very well	0	2019	13447
Queensland	25-34	Speaks English well or very well	0	2020	4439
Queensland	25-34	Speaks English well or very well	0	2021	1070
Queensland	35-44				564
Queensland	35-44			2005	38
Queensland	35-44			2010	43
Queensland	35-44			2015	35
Queensland	35-44			2017	3
Queensland	35-44			2018	8
Queensland	35-44			2019	13
Queensland	35-44			2020	4
Queensland	35-44			2021	4
Queensland	35-44		0		29
Queensland	35-44		0	2005	38
Queensland	35-44		0	2010	52
Queensland	35-44		0	2015	46
Queensland	35-44		0	2016	13
Queensland	35-44		0	2017	3
Queensland	35-44		0	2018	9
Queensland	35-44		0	2019	13
Queensland	35-44		0	2020	3
Queensland	35-44		0	2021	14
Queensland	35-44		1		1754
Queensland	35-44		1	2005	42019
Queensland	35-44		1	2010	23246
Queensland	35-44		1	2015	14852
Queensland	35-44		1	2016	2167
Queensland	35-44		1	2017	1788
Queensland	35-44		1	2018	1719
Queensland	35-44		1	2019	1787
Queensland	35-44		1	2020	842
Queensland	35-44		1	2021	441
Queensland	35-44	Speaks English not well or not at all	0		282
Queensland	35-44	Speaks English not well or not at all	0	2005	977
Queensland	35-44	Speaks English not well or not at all	0	2010	2968
Queensland	35-44	Speaks English not well or not at all	0	2015	3005
Queensland	35-44	Speaks English not well or not at all	0	2016	642
Queensland	35-44	Speaks English not well or not at all	0	2017	734
Queensland	35-44	Speaks English not well or not at all	0	2018	863
Queensland	35-44	Speaks English not well or not at all	0	2019	1066
Queensland	35-44	Speaks English not well or not at all	0	2020	405
Queensland	35-44	Speaks English not well or not at all	0	2021	149
Queensland	35-44	Speaks English well or very well	0		1221
Queensland	35-44	Speaks English well or very well	0	2005	25012
Queensland	35-44	Speaks English well or very well	0	2010	38265
Queensland	35-44	Speaks English well or very well	0	2015	25573
Queensland	35-44	Speaks English well or very well	0	2016	4740
Queensland	35-44	Speaks English well or very well	0	2017	4396
Queensland	35-44	Speaks English well or very well	0	2018	4230
Queensland	35-44	Speaks English well or very well	0	2019	4516
Queensland	35-44	Speaks English well or very well	0	2020	1704
Queensland	35-44	Speaks English well or very well	0	2021	741
Queensland	45-54				313
Queensland	45-54			2005	75
Queensland	45-54			2010	42
Queensland	45-54			2015	23
Queensland	45-54			2016	4
Queensland	45-54			2017	4
Queensland	45-54			2019	5
Queensland	45-54		0		38
Queensland	45-54		0	2005	53
Queensland	45-54		0	2010	31
Queensland	45-54		0	2015	16
Queensland	45-54		0	2016	12
Queensland	45-54		0	2017	10
Queensland	45-54		0	2018	5
Queensland	45-54		0	2019	5
Queensland	45-54		1		2108
Queensland	45-54		1	2005	74348
Queensland	45-54		1	2010	20966
Queensland	45-54		1	2015	9318
Queensland	45-54		1	2016	1067
Queensland	45-54		1	2017	986
Queensland	45-54		1	2018	902
Queensland	45-54		1	2019	897
Queensland	45-54		1	2020	467
Queensland	45-54		1	2021	279
Queensland	45-54	Speaks English not well or not at all	0		284
Queensland	45-54	Speaks English not well or not at all	0	2005	3029
Queensland	45-54	Speaks English not well or not at all	0	2010	2949
Queensland	45-54	Speaks English not well or not at all	0	2015	2023
Queensland	45-54	Speaks English not well or not at all	0	2016	461
Queensland	45-54	Speaks English not well or not at all	0	2017	473
Queensland	45-54	Speaks English not well or not at all	0	2018	521
Queensland	45-54	Speaks English not well or not at all	0	2019	688
Queensland	45-54	Speaks English not well or not at all	0	2020	263
Queensland	45-54	Speaks English not well or not at all	0	2021	58
Queensland	45-54	Speaks English well or very well	0		768
Queensland	45-54	Speaks English well or very well	0	2005	29575
Queensland	45-54	Speaks English well or very well	0	2010	18701
Queensland	45-54	Speaks English well or very well	0	2015	9006
Queensland	45-54	Speaks English well or very well	0	2016	1327
Queensland	45-54	Speaks English well or very well	0	2017	1199
Queensland	45-54	Speaks English well or very well	0	2018	1001
Queensland	45-54	Speaks English well or very well	0	2019	1012
Queensland	45-54	Speaks English well or very well	0	2020	571
Queensland	45-54	Speaks English well or very well	0	2021	235
Queensland	55-64				258
Queensland	55-64			2005	70
Queensland	55-64			2010	21
Queensland	55-64			2015	8
Queensland	55-64			2017	3
Queensland	55-64		0		21
Queensland	55-64		0	2005	80
Queensland	55-64		0	2010	11
Queensland	55-64		0	2015	12
Queensland	55-64		0	2017	3
Queensland	55-64		0	2019	4
Queensland	55-64		1		2289
Queensland	55-64		1	2005	94609
Queensland	55-64		1	2010	11575
Queensland	55-64		1	2015	4187
Queensland	55-64		1	2016	488
Queensland	55-64		1	2017	480
Queensland	55-64		1	2018	459
Queensland	55-64		1	2019	572
Queensland	55-64		1	2020	327
Queensland	55-64		1	2021	212
Queensland	55-64	Speaks English not well or not at all	0		336
Queensland	55-64	Speaks English not well or not at all	0	2005	5532
Queensland	55-64	Speaks English not well or not at all	0	2010	1606
Queensland	55-64	Speaks English not well or not at all	0	2015	1581
Queensland	55-64	Speaks English not well or not at all	0	2016	388
Queensland	55-64	Speaks English not well or not at all	0	2017	366
Queensland	55-64	Speaks English not well or not at all	0	2018	410
Queensland	55-64	Speaks English not well or not at all	0	2019	1115
Queensland	55-64	Speaks English not well or not at all	0	2020	548
Queensland	55-64	Speaks English not well or not at all	0	2021	70
Queensland	55-64	Speaks English well or very well	0		576
Queensland	55-64	Speaks English well or very well	0	2005	29493
Queensland	55-64	Speaks English well or very well	0	2010	5744
Queensland	55-64	Speaks English well or very well	0	2015	2347
Queensland	55-64	Speaks English well or very well	0	2016	330
Queensland	55-64	Speaks English well or very well	0	2017	310
Queensland	55-64	Speaks English well or very well	0	2018	294
Queensland	55-64	Speaks English well or very well	0	2019	372
Queensland	55-64	Speaks English well or very well	0	2020	284
Queensland	55-64	Speaks English well or very well	0	2021	91
Queensland	65-74				242
Queensland	65-74			2005	118
Queensland	65-74			2010	10
Queensland	65-74			2015	6
Queensland	65-74		0		29
Queensland	65-74		0	2005	71
Queensland	65-74		0	2010	10
Queensland	65-74		0	2015	7
Queensland	65-74		0	2016	4
Queensland	65-74		0	2017	3
Queensland	65-74		1		2462
Queensland	65-74		1	2005	89478
Queensland	65-74		1	2010	3928
Queensland	65-74		1	2015	1990
Queensland	65-74		1	2016	353
Queensland	65-74		1	2017	304
Queensland	65-74		1	2018	349
Queensland	65-74		1	2019	428
Queensland	65-74		1	2020	260
Queensland	65-74		1	2021	127
Queensland	65-74	Speaks English not well or not at all	0		270
Queensland	65-74	Speaks English not well or not at all	0	2005	5654
Queensland	65-74	Speaks English not well or not at all	0	2010	972
Queensland	65-74	Speaks English not well or not at all	0	2015	1340
Queensland	65-74	Speaks English not well or not at all	0	2016	326
Queensland	65-74	Speaks English not well or not at all	0	2017	283
Queensland	65-74	Speaks English not well or not at all	0	2018	301
Queensland	65-74	Speaks English not well or not at all	0	2019	929
Queensland	65-74	Speaks English not well or not at all	0	2020	402
Queensland	65-74	Speaks English not well or not at all	0	2021	39
Queensland	65-74	Speaks English well or very well	0		489
Queensland	65-74	Speaks English well or very well	0	2005	22109
Queensland	65-74	Speaks English well or very well	0	2010	1224
Queensland	65-74	Speaks English well or very well	0	2015	713
Queensland	65-74	Speaks English well or very well	0	2016	125
Queensland	65-74	Speaks English well or very well	0	2017	132
Queensland	65-74	Speaks English well or very well	0	2018	129
Queensland	65-74	Speaks English well or very well	0	2019	268
Queensland	65-74	Speaks English well or very well	0	2020	197
Queensland	65-74	Speaks English well or very well	0	2021	55
Queensland	75-84				361
Queensland	75-84			2005	180
Queensland	75-84			2010	9
Queensland	75-84		0		30
Queensland	75-84		0	2005	86
Queensland	75-84		1		2167
Queensland	75-84		1	2005	52411
Queensland	75-84		1	2010	1755
Queensland	75-84		1	2015	850
Queensland	75-84		1	2016	171
Queensland	75-84		1	2017	146
Queensland	75-84		1	2018	135
Queensland	75-84		1	2019	198
Queensland	75-84		1	2020	84
Queensland	75-84		1	2021	56
Queensland	75-84	Speaks English not well or not at all	0		221
Queensland	75-84	Speaks English not well or not at all	0	2005	3924
Queensland	75-84	Speaks English not well or not at all	0	2010	476
Queensland	75-84	Speaks English not well or not at all	0	2015	403
Queensland	75-84	Speaks English not well or not at all	0	2016	84
Queensland	75-84	Speaks English not well or not at all	0	2017	75
Queensland	75-84	Speaks English not well or not at all	0	2018	73
Queensland	75-84	Speaks English not well or not at all	0	2019	221
Queensland	75-84	Speaks English not well or not at all	0	2020	97
Queensland	75-84	Speaks English not well or not at all	0	2021	8
Queensland	75-84	Speaks English well or very well	0		415
Queensland	75-84	Speaks English well or very well	0	2005	11623
Queensland	75-84	Speaks English well or very well	0	2010	369
Queensland	75-84	Speaks English well or very well	0	2015	247
Queensland	75-84	Speaks English well or very well	0	2016	36
Queensland	75-84	Speaks English well or very well	0	2017	42
Queensland	75-84	Speaks English well or very well	0	2018	56
Queensland	75-84	Speaks English well or very well	0	2019	99
Queensland	75-84	Speaks English well or very well	0	2020	67
Queensland	75-84	Speaks English well or very well	0	2021	21
Queensland	85+				493
Queensland	85+			2005	109
Queensland	85+			2010	3
Queensland	85+			2015	5
Queensland	85+		0		34
Queensland	85+		0	2005	49
Queensland	85+		1		1508
Queensland	85+		1	2005	14271
Queensland	85+		1	2010	381
Queensland	85+		1	2015	191
Queensland	85+		1	2016	29
Queensland	85+		1	2017	22
Queensland	85+		1	2018	37
Queensland	85+		1	2019	51
Queensland	85+		1	2020	8
Queensland	85+		1	2021	6
Queensland	85+	Speaks English not well or not at all	0		299
Queensland	85+	Speaks English not well or not at all	0	2005	2332
Queensland	85+	Speaks English not well or not at all	0	2010	122
Queensland	85+	Speaks English not well or not at all	0	2015	79
Queensland	85+	Speaks English not well or not at all	0	2016	17
Queensland	85+	Speaks English not well or not at all	0	2017	19
Queensland	85+	Speaks English not well or not at all	0	2018	10
Queensland	85+	Speaks English not well or not at all	0	2019	42
Queensland	85+	Speaks English not well or not at all	0	2020	20
Queensland	85+	Speaks English not well or not at all	0	2021	3
Queensland	85+	Speaks English well or very well	0		445
Queensland	85+	Speaks English well or very well	0	2005	3977
Queensland	85+	Speaks English well or very well	0	2010	71
Queensland	85+	Speaks English well or very well	0	2015	44
Queensland	85+	Speaks English well or very well	0	2016	10
Queensland	85+	Speaks English well or very well	0	2017	5
Queensland	85+	Speaks English well or very well	0	2018	3
Queensland	85+	Speaks English well or very well	0	2019	16
Queensland	85+	Speaks English well or very well	0	2020	8
South Australia	0-14				20
South Australia	0-14			2010	3
South Australia	0-14			2015	3
South Australia	0-14			2016	6
South Australia	0-14			2018	3
South Australia	0-14			2019	7
South Australia	0-14			2020	4
South Australia	0-14		0		7
South Australia	0-14		0	2010	3
South Australia	0-14		0	2015	4
South Australia	0-14		0	2016	3
South Australia	0-14		0	2017	8
South Australia	0-14		0	2018	13
South Australia	0-14		0	2019	15
South Australia	0-14		0	2020	29
South Australia	0-14		0	2021	9
South Australia	0-14		1		280
South Australia	0-14		1	2010	990
South Australia	0-14		1	2015	2627
South Australia	0-14		1	2016	555
South Australia	0-14		1	2017	615
South Australia	0-14		1	2018	765
South Australia	0-14		1	2019	707
South Australia	0-14		1	2020	431
South Australia	0-14		1	2021	193
South Australia	0-14	Speaks English not well or not at all	0		91
South Australia	0-14	Speaks English not well or not at all	0	2010	11
South Australia	0-14	Speaks English not well or not at all	0	2015	75
South Australia	0-14	Speaks English not well or not at all	0	2016	54
South Australia	0-14	Speaks English not well or not at all	0	2017	93
South Australia	0-14	Speaks English not well or not at all	0	2018	170
South Australia	0-14	Speaks English not well or not at all	0	2019	420
South Australia	0-14	Speaks English not well or not at all	0	2020	247
South Australia	0-14	Speaks English not well or not at all	0	2021	153
South Australia	0-14	Speaks English well or very well	0		361
South Australia	0-14	Speaks English well or very well	0	2010	1082
South Australia	0-14	Speaks English well or very well	0	2015	4197
South Australia	0-14	Speaks English well or very well	0	2016	1510
South Australia	0-14	Speaks English well or very well	0	2017	1490
South Australia	0-14	Speaks English well or very well	0	2018	1788
South Australia	0-14	Speaks English well or very well	0	2019	1929
South Australia	0-14	Speaks English well or very well	0	2020	788
South Australia	0-14	Speaks English well or very well	0	2021	175
South Australia	15-24				86
South Australia	15-24			2010	7
South Australia	15-24			2015	7
South Australia	15-24			2016	5
South Australia	15-24			2019	5
South Australia	15-24			2020	8
South Australia	15-24			2021	3
South Australia	15-24		0		8
South Australia	15-24		0	2005	5
South Australia	15-24		0	2010	3
South Australia	15-24		0	2015	10
South Australia	15-24		0	2018	5
South Australia	15-24		0	2019	7
South Australia	15-24		0	2020	5
South Australia	15-24		1		221
South Australia	15-24		1	2005	2075
South Australia	15-24		1	2010	5076
South Australia	15-24		1	2015	2034
South Australia	15-24		1	2016	287
South Australia	15-24		1	2017	295
South Australia	15-24		1	2018	358
South Australia	15-24		1	2019	426
South Australia	15-24		1	2020	268
South Australia	15-24		1	2021	62
South Australia	15-24	Speaks English not well or not at all	0		46
South Australia	15-24	Speaks English not well or not at all	0	2005	26
South Australia	15-24	Speaks English not well or not at all	0	2010	37
South Australia	15-24	Speaks English not well or not at all	0	2015	136
South Australia	15-24	Speaks English not well or not at all	0	2016	103
South Australia	15-24	Speaks English not well or not at all	0	2017	136
South Australia	15-24	Speaks English not well or not at all	0	2018	222
South Australia	15-24	Speaks English not well or not at all	0	2019	333
South Australia	15-24	Speaks English not well or not at all	0	2020	153
South Australia	15-24	Speaks English not well or not at all	0	2021	81
South Australia	15-24	Speaks English well or very well	0		369
South Australia	15-24	Speaks English well or very well	0	2005	1242
South Australia	15-24	Speaks English well or very well	0	2010	5637
South Australia	15-24	Speaks English well or very well	0	2015	5601
South Australia	15-24	Speaks English well or very well	0	2016	1945
South Australia	15-24	Speaks English well or very well	0	2017	2311
South Australia	15-24	Speaks English well or very well	0	2018	2911
South Australia	15-24	Speaks English well or very well	0	2019	3862
South Australia	15-24	Speaks English well or very well	0	2020	1874
South Australia	15-24	Speaks English well or very well	0	2021	129
South Australia	25-34				158
South Australia	25-34			2005	7
South Australia	25-34			2010	10
South Australia	25-34			2015	11
South Australia	25-34			2016	10
South Australia	25-34			2017	6
South Australia	25-34			2018	8
South Australia	25-34			2019	14
South Australia	25-34			2020	6
South Australia	25-34			2021	4
South Australia	25-34		0		16
South Australia	25-34		0	2005	9
South Australia	25-34		0	2010	12
South Australia	25-34		0	2015	17
South Australia	25-34		0	2017	5
South Australia	25-34		0	2018	4
South Australia	25-34		0	2019	10
South Australia	25-34		0	2020	3
South Australia	25-34		1		323
South Australia	25-34		1	2005	5032
South Australia	25-34		1	2010	2936
South Australia	25-34		1	2015	2431
South Australia	25-34		1	2016	602
South Australia	25-34		1	2017	592
South Australia	25-34		1	2018	712
South Australia	25-34		1	2019	806
South Australia	25-34		1	2020	436
South Australia	25-34		1	2021	144
South Australia	25-34	Speaks English not well or not at all	0		83
South Australia	25-34	Speaks English not well or not at all	0	2005	68
South Australia	25-34	Speaks English not well or not at all	0	2010	390
South Australia	25-34	Speaks English not well or not at all	0	2015	1124
South Australia	25-34	Speaks English not well or not at all	0	2016	386
South Australia	25-34	Speaks English not well or not at all	0	2017	420
South Australia	25-34	Speaks English not well or not at all	0	2018	470
South Australia	25-34	Speaks English not well or not at all	0	2019	588
South Australia	25-34	Speaks English not well or not at all	0	2020	200
South Australia	25-34	Speaks English not well or not at all	0	2021	91
South Australia	25-34	Speaks English well or very well	0		569
South Australia	25-34	Speaks English well or very well	0	2005	3458
South Australia	25-34	Speaks English well or very well	0	2010	8209
South Australia	25-34	Speaks English well or very well	0	2015	12297
South Australia	25-34	Speaks English well or very well	0	2016	4081
South Australia	25-34	Speaks English well or very well	0	2017	4602
South Australia	25-34	Speaks English well or very well	0	2018	5353
South Australia	25-34	Speaks English well or very well	0	2019	6068
South Australia	25-34	Speaks English well or very well	0	2020	2023
South Australia	25-34	Speaks English well or very well	0	2021	316
South Australia	35-44				128
